社内品番,日付,ライン,品名,計画数,生産数,差異,シフト,休憩,段取,修理,鋸刃交換,ロス停止昼,ロス時間夜,見えないロス停止,計画停止時間,作業すべき時間,作業時間,稼働率,作業率,生産総数,能率,設備記録時間１,設備記録時間2,60,,,実記録切断,差異,実記録面取,差異,面取段取り,,成形加工日
91441,4/28,切断01,400B FR,"2,282","2,282",,5.50,,0.05,,0.25,0.17,,0.47,,5.50 ,5.03 ,22.92%,91.53%,"2,282",453.3,,273.7,4.56,,,,,,,,,
92481,4/28,切断02,155D RR,"2,080","2,080",,4.67,,,,0.25,0.33,,0.60,,4.67 ,4.08 ,19.44%,87.51%,"2,080",509.4,,208.83,3.48,,,,,,,,,
92481,4/28,切断02,155D RR,"2,608","2,608",,6.33,,,,0.75,,0.25,0.56,0.25,6.08 ,5.08 ,25.35%,83.56%,"2,608",513.1,,271.51,4.53,,,,,,,,,
92481,4/28,切断02,155D RR,"2,608","2,608",,7.33,,,1.33,0.50,,,0.50,,7.33 ,5.50 ,30.55%,75.00%,"2,608",474.2,,300.15,5.00,,,,,,,,,
92221,4/28,切断02,900B FR,658,658,,1.75,,0.13,,0.25,,,0.27,,1.75 ,1.37 ,7.29%,78.11%,658,481.3,,65.53,1.09,,,,,,,,,
92221,4/28,切断02,900B FR,"1,548","1,548",,3.92,,0.08,,,0.67,,0.50,,3.92 ,3.17 ,16.32%,80.87%,"1,548",488.8,,159.96,2.67,,,,,,,,,
91791,4/28,切断03,GC7 CTR,"2,218","2,198",20,3.75,,,,,,,0.00,,3.75 ,3.75 ,15.63%,100.00%,"2,198",586.1,,224.86,3.75,,,,,,,,,
91011,4/28,切断03,HR3 JP,"2,282","2,282",,4.83,,0.08,,0.25,,,-0.37,0.25,4.58 ,4.25 ,19.10%,92.73%,"2,282",536.9,,277.21,4.62,,,,,,,,,
91011,4/28,切断03,HR3 JP,"2,282","2,282",,5.08,,,,,,,0.47,,5.08 ,5.08 ,21.18%,100.00%,"2,282",448.9,,277.03,4.62,,,,,,,,,
,4/28,切断03,CH2 RR,"4,000","4,000",,8.83,,0.28,,,,0.42,0.53,,8.83 ,8.13 ,36.80%,92.09%,"4,000",491.8,,456.38,7.61,,,,,,,,,
,4/28,切断03,CH2 RR,696,696,,1.50,,0.08,,,,,0.17,,1.50 ,1.42 ,6.25%,94.47%,696,491.2,,75,1.25,,,,,,,,,
,4/28,切断04,410D CTR,286,286,,1.08,,,,,,,0.41,,1.08 ,1.08 ,4.51%,100.00%,286,264.1,,40.22,0.67,,,,,,,,,
,4/28,切断04,410D CTR,"1,956","1,956",,5.83,,,,0.25,,0.25,0.53,0.25,5.58 ,5.08 ,23.26%,91.04%,"1,956",384.8,,273,4.55,,,,,,,,,
,4/28,切断04,410D CTR,"1,956","1,956",,6.17,1.00,,,,,0.17,0.50,,5.17 ,5.00 ,21.53%,96.79%,"1,956",391.2,,270,4.50,,,,,,,,,
#N/A,4/28,切断04,706D CTR,"2,608","2,608",,7.08,,0.33,,,0.55,,0.55,,7.08 ,6.20 ,29.51%,87.53%,"2,608",420.6,,339,5.65,,,,,,,,,
91271,4/28,切断04,100B CTR,"1,654","1,654",,3.83,,0.17,,0.25,,,0.06,,3.83 ,3.42 ,15.97%,89.15%,"1,654",484.1,,201.7,3.36,,,,,,,,,
91261,4/28,切断05,164B RR,"2,282","2,282",,5.42,,,,0.25,,,-0.29,0.25,5.17 ,4.92 ,21.53%,95.16%,"2,282",464.2,,312.22,5.20,,,,,,,,,
92231,4/28,切断05,900B RR,"2,608","2,608",,6.33,,0.08,,,,,0.10,,6.33 ,6.25 ,26.39%,98.69%,"2,608",417.3,,369.25,6.15,,,,,,,,,
92231,4/28,切断05,900B RR,"2,608","2,608",,7.50,,0.05,,0.25,,0.42,0.56,,7.50 ,6.78 ,31.25%,90.45%,"2,608",384.4,,373.51,6.23,,,,,,,,,
92441,4/28,切断05,310D CTR,"1,968","1,968",,4.75,,,,0.25,,,0.30,,4.75 ,4.50 ,19.79%,94.74%,"1,968",437.3,,252.25,4.20,,,,,,,,,
91441,5/6,切断01,400B FR,"2,282","2,282",,6.33,,,,0.50,,,-0.17,1.50,4.83 ,4.33 ,20.14%,89.65%,"2,282",526.7,,270.3,4.51,,,,,,,,,
,5/6,切断01,410D FR1,"1,500","1,500",,3.80,,0.08,,,,,0.44,,3.80 ,3.72 ,15.83%,97.82%,"1,500",403.6,,196.36,3.27,,,,,,,,,
,5/6,切断01,410D FR1,"1,500","1,500",,4.32,,0.03,,0.25,,0.33,0.44,,4.32 ,3.70 ,17.98%,85.73%,"1,500",405.4,,195.58,3.26,,,,,,,,,
,5/6,切断01,410D FR1,"1,500","1,500",,4.00,,0.05,,0.25,,,0.41,,4.00 ,3.70 ,16.67%,92.50%,"1,500",405.4,,197.53,3.29,,,,,,,,,
,5/6,切断01,410D FR1,"1,500","1,500",,5.00,,0.05,,,,,0.56,1.00,4.00 ,3.95 ,16.67%,98.75%,"1,500",379.7,,203.25,3.39,,,,,,,,,
,5/6,切断01,410D FR1,134,134,,0.55,,0.05,,,,,0.19,,0.55 ,0.50 ,2.29%,90.91%,134,268.0,,18.6,0.31,,,,,,,,,
92221,5/6,切断02,900B FR,734,734,,3.17,,,,0.25,,,0.18,1.50,1.67 ,1.42 ,6.94%,84.99%,734,518.4,,74.33,1.24,,,,,,,,,
92221,5/6,切断02,900B FR,"2,282","2,282",,5.25,,,,0.25,,0.33,0.55,0.25,5.00 ,4.42 ,20.83%,88.34%,"2,282",516.6,,232.08,3.87,,,,,,,,,
91441,5/6,切断02,400B FR,"2,282","2,282",,4.92,,,,0.25,,0.33,0.54,,4.92 ,4.33 ,20.48%,88.14%,"2,282",526.7,,227.45,3.79,,,,,,,,,
92201,5/6,切断02,970B 3RD,564,564,,1.62,,0.12,,,,,0.56,,1.62 ,1.50 ,6.73%,92.82%,564,376.0,,56.11,0.94,,,,,,,,,
92201,5/6,切断02,970B 3RD,"1,116","1,116",,2.83,,0.05,,,,0.42,0.50,,2.83 ,2.37 ,11.80%,83.55%,"1,116",471.5,,112.03,1.87,,,,,,,,,
92201,5/6,切断02,970B 3RD,"1,800","1,800",,5.00,,0.03,,,0.33,,0.62,1.00,4.00 ,3.64 ,16.67%,90.93%,"1,800",494.9,,181.31,3.02,,,,,,,,,
91441,5/6,切断02,400B FR,358,358,,1.22,,0.17,,0.25,,,0.21,,1.22 ,0.80 ,5.07%,65.79%,358,447.5,,35.28,0.59,,,,,,,,,
,5/6,切断03,CH2 RR,"3,304","3,304",,7.50,,,,0.25,,,-0.24,1.50,6.00 ,5.75 ,25.00%,95.83%,"3,304",574.6,,359.11,5.99,,,,,,,,,
91111,5/6,切断03,TTA,"3,000","3,000",,6.95,,0.08,,0.25,,0.33,0.61,,6.95 ,6.28 ,28.96%,90.42%,"3,000",477.4,,340.74,5.68,,,,,,,,,
91111,5/6,切断03,TTA,"3,000","3,000",,7.45,,0.05,,,,0.33,0.53,1.00,6.45 ,6.07 ,26.88%,94.06%,"3,000",494.5,,332.26,5.54,,,,,,,,,
91491,5/6,切断03,TKR FR,832,832,,2.17,,0.15,,,,,0.38,,2.17 ,2.02 ,9.03%,93.07%,832,412.7,,98,1.63,,,,,,,,,
91271,5/6,切断04,100B CTR,"1,932","1,932",,5.50,,,,,,,0.05,1.50,4.00 ,4.00 ,16.67%,100.00%,"1,932",483.0,,236.91,3.95,,,,,,,,,
,5/6,切断04,836D RR,"1,956","1,956",,5.00,,0.08,,0.25,,,0.05,,5.00 ,4.67 ,20.83%,93.34%,"1,956",419.1,,277.06,4.62,,,,,,,,,
,5/6,切断04,836D RR,"1,956","1,956",,5.33,,0.03,,,,0.17,0.51,,5.33 ,5.14 ,22.22%,96.32%,"1,956",380.8,,277.56,4.63,,,,,,,,,
92431,5/6,切断04,410D RR,"1,956","1,956",,7.07,,0.25,,0.25,0.50,,0.60,1.00,6.07 ,5.07 ,25.28%,83.51%,"1,956",386.1,,267.75,4.46,,,,,,,,,
92431,5/6,切断04,410D RR,252,252,,1.08,,0.07,,0.25,,,0.17,,1.08 ,0.77 ,4.51%,70.82%,252,328.6,,35.61,0.59,,,,,,,,,
92441,5/6,切断05,310D CTR,966,966,,3.50,,,,,,,-0.07,1.50,2.00 ,2.00 ,8.33%,100.00%,966,483.0,,124.06,2.07,,,,,,,,,
92441,5/6,切断05,310D CTR,"2,934","2,934",,6.50,,,,0.25,,,0.03,,6.50 ,6.25 ,27.08%,96.15%,"2,934",469.4,,373.3,6.22,,,,,,,,,
92441,5/6,切断05,310D CTR,"2,934","2,934",,7.30,,0.03,,0.25,,,0.34,,7.30 ,7.02 ,30.42%,96.12%,"2,934",418.1,,400.9,6.68,,,,,,,,,
92441,5/6,切断05,310D CTR,"2,378","2,378",,6.70,,0.05,,0.25,,,0.29,1.00,5.70 ,5.40 ,23.75%,94.74%,"2,378",440.4,,306.38,5.11,,,,,,,,,
,5/7,切断01,410D FR1,"1,366","1,366",,3.67,,,,0.50,,,0.16,,3.67 ,3.17 ,15.28%,86.36%,"1,366",431.5,,180.58,3.01,,,,,,,,,
92331,5/7,切断01,960B RR,"2,282","2,282",,5.90,,0.17,,0.25,,,0.32,0.25,5.65 ,5.23 ,23.54%,92.64%,"2,282",436.0,,295.1,4.92,,,,,,,,,
92441,5/7,切断01,310D CTR,"2,934","2,934",,5.93,,0.13,,0.25,,,0.08,,5.93 ,5.55 ,24.72%,93.54%,"2,934",528.6,,327.91,5.47,,,,,,,,,
92441,5/7,切断01,310D CTR,"2,934","2,934",,5.50,,,,,,,0.17,,5.50 ,5.50 ,22.92%,100.00%,"2,934",533.5,,319.88,5.33,,,,,,,,,
92441,5/7,切断01,310D CTR,"1,394","1,394",,3.00,,0.08,,0.25,,,0.02,,3.00 ,2.67 ,12.50%,88.90%,"1,394",522.7,,158.53,2.64,,,,,,,,,
91441,5/7,切断02,400B FR,"1,924","1,924",,4.25,,,,0.25,,0.17,0.52,,4.25 ,3.83 ,17.71%,90.21%,"1,924",501.8,,198.91,3.32,,,,,,,,,
91441,5/7,切断02,400B FR,"2,282","2,282",,5.73,,0.03,,0.25,,0.83,0.61,0.25,5.48 ,4.37 ,22.85%,79.65%,"2,282",522.6,,225.3,3.76,,,,,,,,,
,5/7,切断02,655D 3RD SIDE,"1,956","1,956",,5.28,,0.12,,0.25,,1.00,0.55,,5.28 ,3.92 ,22.01%,74.11%,"1,956",499.6,,202.06,3.37,,,,,,,,,
,5/7,切断02,655D 3RD SIDE,"1,956","1,956",,5.08,,,,0.50,0.67,,0.55,,5.08 ,3.92 ,21.18%,77.06%,"1,956",499.4,,202.08,3.37,,,,,,,,,
92221,5/7,切断02,900B FR,"1,470","1,470",,3.67,,0.15,,,,,0.43,,3.67 ,3.52 ,15.28%,95.91%,"1,470",418.1,,185,3.08,,,,,,,,,
91491,5/7,切断03,TKR FR,"1,668","1,668",,4.12,,,,0.25,,,0.63,,4.12 ,3.87 ,17.16%,93.93%,"1,668",431.2,,194.5,3.24,,,,,,,,,
91491,5/7,切断03,TKR FR,"2,500","2,500",,6.63,,0.05,,,,0.67,0.66,0.25,6.38 ,5.67 ,26.60%,88.78%,"2,500",441.2,,300.43,5.01,,,,,,,,,
92001,5/7,切断03,840B SIDE,"1,956","1,956",,5.33,,0.17,,0.25,,,0.59,,5.33 ,4.92 ,22.22%,92.20%,"1,956",397.8,,259.5,4.33,,,,,,,,,
92001,5/7,切断03,840B SIDE,"1,236","1,236",,2.92,,,,,,,0.18,,2.92 ,2.92 ,12.15%,100.00%,"1,236",423.9,,164.06,2.73,,,,,,,,,
92001,5/7,切断03,840B SIDE,"1,956","1,956",,5.00,,,,0.25,,,0.40,,5.00 ,4.75 ,20.83%,95.00%,"1,956",411.8,,260.86,4.35,,,,,,,,,
,5/7,切断04,410D CTR,"1,704","1,704",,5.55,,,,0.25,,0.50,0.56,0.25,5.30 ,4.55 ,22.08%,85.85%,"1,704",374.5,,239.15,3.99,,,,,,,,,
,5/7,切断04,410D CTR,"1,956","1,956",,6.12,,0.22,,0.25,,0.67,0.51,,6.12 ,4.98 ,25.48%,81.49%,"1,956",392.5,,268.48,4.47,,,,,,,,,
91461,5/7,切断04,400B CTR,"2,608","2,608",,6.08,,0.08,,0.25,,,0.16,,6.08 ,5.75 ,25.35%,94.53%,"2,608",453.6,,335.28,5.59,,,,,,,,,
91461,5/7,切断04,400B CTR,"2,608","2,608",,6.25,,,,0.25,,,0.38,,6.25 ,6.00 ,26.04%,96.00%,"2,608",434.7,,337.13,5.62,,,,,,,,,
92441,5/7,切断05,310D CTR,556,556,,1.25,,,,,,,0.06,,1.25 ,1.25 ,5.21%,100.00%,556,444.8,,71.38,1.19,,,,,,,,,
91681,5/7,切断05,D54L RR,"2,400","2,400",,6.35,,0.20,,,,,0.55,0.25,6.10 ,5.90 ,25.42%,96.72%,"2,400",406.8,,321.18,5.35,,,,,,,,,
91681,5/7,切断05,D54L RR,"2,400","2,400",,5.32,,0.03,,0.25,,,-0.20,,5.32 ,5.04 ,22.15%,94.73%,"2,400",476.6,,314.18,5.24,,,,,,,,,
91591,5/7,切断05,モニートクッション,600,600,,1.92,,0.17,,,,,0.14,,1.92 ,1.75 ,7.98%,91.34%,600,342.9,,96.66,1.61,,,,,,,,,
91671,5/7,切断05,D54L CTR,"2,700","2,700",,6.67,,0.33,,0.25,,,0.25,,6.67 ,6.08 ,27.78%,91.25%,"2,700",443.9,,350,5.83,,,,,,,,,
91671,5/7,切断05,D54L CTR,"1,062","1,062",,2.50,,0.08,,,,,0.17,,2.50 ,2.42 ,10.42%,96.68%,"1,062",439.4,,135.05,2.25,,,,,,,,,
92441,5/8,切断01,310D CTR,"1,540","1,540",,3.70,,,,,,,0.59,,3.70 ,3.70 ,15.42%,100.00%,"1,540",416.2,,186.8,3.11,,,,,,,,,
92161,5/8,切断01,3V0 FR プレート,"1,800","1,800",,5.88,1.00,0.20,,0.50,,,0.31,0.25,4.63 ,3.93 ,19.30%,84.89%,"1,800",457.7,,217.11,3.62,,,,,,,,,
92161,5/8,切断01,3V0 FR プレート,"1,800","1,800",,3.83,,,,,,,0.33,,3.83 ,3.83 ,15.97%,100.00%,"1,800",469.6,,210,3.50,,,,,,,,,
,5/8,切断01,410D FR1,"1,500","1,500",,4.67,,0.08,,0.25,,,0.26,,4.67 ,4.33 ,19.44%,92.86%,"1,500",346.2,,244.66,4.08,,,,,,,,,
92231,5/8,切断01,900B RR,"2,498","2,498",,5.92,,0.08,,0.75,,,-0.28,,5.92 ,5.08 ,24.65%,85.92%,"2,498",491.4,,321.81,5.36,,,,,,,,,
92221,5/8,切断02,900B FR,812,812,,2.30,,,,,,0.33,0.56,,2.30 ,1.97 ,9.58%,85.52%,812,412.8,,84.51,1.41,,,,,,,,,
92221,5/8,切断02,900B FR,"2,282","2,268",14,5.00,,0.05,,0.25,,0.17,0.54,0.25,4.75 ,4.28 ,19.79%,90.19%,"2,268",529.4,,224.58,3.74,,,,,,,,,
91441,5/8,切断02,400B FR,"2,282","2,282",,6.20,1.00,0.05,,0.25,,0.25,0.56,,5.20 ,4.65 ,21.67%,89.42%,"2,282",490.8,,245.43,4.09,,,,,,,,,
91441,5/8,切断02,400B FR,"2,282","2,282",,5.33,,,,,,,0.53,,5.33 ,5.33 ,22.22%,100.00%,"2,282",427.9,,288,4.80,,,,,,,,,
91441,5/8,切断02,400B FR,"2,138","2,138",,5.17,,,,0.25,,,-0.12,,5.17 ,4.92 ,21.53%,95.16%,"2,138",434.9,,302,5.03,,,,,,,,,
,5/8,切断03,CH2 RR,"4,000","3,984",16,8.75,1.00,,,0.25,,,-0.07,0.25,7.50 ,7.25 ,31.25%,96.67%,"3,984",549.5,,438.91,7.32,,,,,,,,,
,5/8,切断03,CH2 RR,"4,000","4,000",,8.17,,0.03,,0.25,,0.17,0.48,,8.17 ,7.72 ,34.03%,94.50%,"4,000",518.3,,433.93,7.23,,,,,,,,,
91111,5/8,切断03,TTA,"3,000","3,000",,6.35,,0.08,,,0.17,,0.48,,6.35 ,6.10 ,26.46%,96.08%,"3,000",491.7,,337.28,5.62,,,,,,,,,
92381,5/8,切断03,5A45 X1,124,124,,0.73,,0.22,,,,,0.20,,0.73 ,0.52 ,3.05%,70.53%,124,239.8,,19.13,0.32,,,,,,,,,
92601,5/8,切断04,554D SD,"2,608","2,608",,8.47,1.00,,,0.50,,0.45,0.55,0.25,7.22 ,6.27 ,30.07%,86.83%,"2,608",416.2,,342.7,5.71,,,,,,,,,
92601,5/8,切断04,554D SD,"2,608","2,608",,7.62,,0.05,,0.50,,0.83,0.58,,7.62 ,6.23 ,31.73%,81.84%,"2,608",418.4,,339.13,5.65,,,,,,,,,
92431,5/8,切断04,410D RR,"2,934","2,934",,6.87,,0.08,,0.25,,,0.21,,6.87 ,6.53 ,28.61%,95.15%,"2,934",449.1,,379.31,6.32,,,,,,,,,
92431,5/8,切断04,410D RR,372,372,,1.05,,0.08,,0.25,,,-0.08,,1.05 ,0.72 ,4.38%,68.29%,372,518.8,,48.01,0.80,,,,,,,,,
91671,5/8,切断05,D54L CTR,"1,638","1,638",,4.05,,,,,,,0.50,,4.05 ,4.05 ,16.88%,100.00%,"1,638",404.4,,213.1,3.55,,,,,,,,,
91181,5/8,切断05,X61G 3RD,"1,500","1,500",,6.28,,0.33,,0.25,,,0.52,0.25,6.03 ,5.45 ,25.14%,90.34%,"1,500",275.2,,295.98,4.93,,,,,,,,,
91181,5/8,切断05,X61G 3RD,"1,500","1,500",,8.33,1.00,,0.67,,,,0.61,0.67,6.67 ,6.00 ,27.78%,90.01%,"1,500",250.0,,323.67,5.39,,,,,,,,,
91951,5/8,切断05,961B CTR,"2,022","2,022",,5.33,,0.08,,0.25,,,0.46,,5.33 ,5.00 ,22.22%,93.76%,"2,022",404.4,,272.6,4.54,,,,,,,,,
92231,5/9,切断01,900B RR,110,110,,0.42,,,,,,,0.19,,0.42 ,0.42 ,1.73%,100.00%,110,264.4,,13.6,0.23,,,,,,,,,
,5/9,切断01,410D FR1,"1,500","1,500",,4.00,,0.33,,,,,0.16,,4.00 ,3.67 ,16.67%,91.68%,"1,500",409.1,,210.32,3.51,,,,,,,,,
,5/9,切断01,410D FR1,"1,500","1,500",,4.82,,0.33,,0.25,,0.55,0.60,0.25,4.57 ,3.43 ,19.03%,75.19%,"1,500",436.9,,170.05,2.83,,,,,,,,,
,5/9,切断01,410D FR1,552,552,,1.82,,0.03,,,,,0.64,,1.82 ,1.79 ,7.57%,98.35%,552,309.1,,68.58,1.14,,,,,,,,,
,5/9,切断01,410D FR1,936,936,,2.37,,0.05,,,,,0.25,,2.37 ,2.32 ,9.86%,97.89%,936,404.1,,124.05,2.07,,,,,,,,,
92231,5/9,切断01,900B RR,"2,608","2,608",,5.50,,0.08,,0.25,,,-0.15,,5.50 ,5.17 ,22.92%,93.95%,"2,608",504.7,,319,5.32,,,,,,,,,
92141,5/9,切断01,300D RR,"1,984","1,984",,4.08,,,,,,,0.04,,4.08 ,4.08 ,17.01%,100.00%,"1,984",485.9,,242.71,4.05,,,,,,,,,
91441,5/9,切断02,400B FR,144,144,,0.40,,,,,,,0.16,,0.40 ,0.40 ,1.67%,100.00%,144,360.0,,14.3,0.24,,,,,,,,,
91441,5/9,切断02,400B FR,"2,282","2,282",,5.87,,0.25,,,,,0.57,1.25,4.62 ,4.37 ,19.23%,94.58%,"2,282",522.7,,227.55,3.79,,,,,,,,,
92221,5/9,切断02,900B FR,"2,282","2,282",,5.73,,0.17,,0.25,,0.97,0.50,,5.73 ,4.35 ,23.89%,75.89%,"2,282",524.5,,231.11,3.85,,,,,,,,,
92221,5/9,切断02,900B FR,"2,282","2,282",,5.33,1.00,,,0.25,,,0.26,,4.33 ,4.08 ,18.05%,94.23%,"2,282",558.9,,229.52,3.83,,,,,,,,,
91441,5/9,切断02,400B FR,"2,282","2,282",,4.58,,,,,,,0.61,,4.58 ,4.58 ,19.10%,100.00%,"2,282",497.9,,238.34,3.97,,,,,,,,,
91441,5/9,切断02,400B FR,490,490,,1.08,,,,0.25,,,0.00,,1.08 ,0.83 ,4.51%,76.92%,490,588.2,,49.95,0.83,,,,,,,,,
92381,5/9,切断03,5A45 X1,"2,376","2,376",,7.67,,,,0.25,,0.25,0.50,1.25,6.42 ,5.92 ,26.73%,92.21%,"2,376",401.6,,325.24,5.42,,,,,,,,,
91111,5/9,切断03,TTA,"3,000","3,000",,6.92,1.00,0.20,,,,,0.05,,5.92 ,5.72 ,24.65%,96.62%,"3,000",524.8,,339.7,5.66,,,,,,,,,
91491,5/9,切断03,TKR FR,"2,500","2,500",,6.33,,0.08,,0.25,,0.52,0.60,,6.33 ,5.48 ,26.39%,86.59%,"2,500",455.9,,293.28,4.89,,,,,,,,,
92001,5/9,切断03,840B SIDE,780,780,,2.08,,0.08,,,,,0.35,,2.08 ,2.00 ,8.68%,96.02%,780,390.0,,99.2,1.65,,,,,,,,,
92431,5/9,切断04,410D RR,"2,562","2,562",,7.17,,,,,,,0.33,1.25,5.92 ,5.92 ,24.65%,100.00%,"2,562",433.1,,335,5.58,,,,,,,,,
91461,5/9,切断04,400B CTR,"2,608","2,608",,6.33,,0.17,,0.25,,,0.25,,6.33 ,5.92 ,26.39%,93.43%,"2,608",440.8,,340.28,5.67,,,,,,,,,
91461,5/9,切断04,400B CTR,"2,608","2,608",,5.75,,,,,,,0.11,,5.75 ,5.75 ,23.96%,100.00%,"2,608",453.6,,338.55,5.64,,,,,,,,,
,5/9,切断04,836D RR,"1,476","1,476",,3.67,,0.08,,0.25,,,-0.12,,3.67 ,3.33 ,15.28%,90.92%,"1,476",442.8,,207.25,3.45,,,,,,,,,
91951,5/9,切断05,961B CTR,586,586,,2.92,,,,,,,0.52,1.00,1.92 ,1.92 ,7.98%,100.00%,586,305.8,,83.95,1.40,,,,,,,,,
91951,5/9,切断05,961B CTR,"2,608","2,608",,6.63,,0.05,,,,,0.59,,6.63 ,6.58 ,27.64%,99.25%,"2,608",396.2,,359.66,5.99,,,,,,,,,
91831,5/9,切断05,3N0 RR EU,"2,000","2,000",,6.37,,0.37,,,,,0.52,,6.37 ,6.00 ,26.53%,94.25%,"2,000",333.3,,328.83,5.48,,,,,,,,,
91831,5/9,切断05,3N0 RR EU,"2,000","2,000",,5.75,,,,,,,0.27,,5.75 ,5.75 ,23.96%,100.00%,"2,000",347.8,,328.52,5.48,,,,,,,,,
90301,5/9,切断05,3X45 対米 FR,498,498,,1.33,,0.08,,,,,0.01,,1.33 ,1.25 ,5.55%,93.77%,498,398.4,,74.28,1.24,,,,,,,,,
92141,5/11,切断01,300D RR,624,624,,1.42,,,,,,,0.14,,1.42 ,1.42 ,5.90%,100.00%,624,440.7,,76.58,1.28,,,,,,,,,
92201,5/11,切断01,970B 3RD,954,954,,2.58,,,,0.25,,,0.57,,2.58 ,2.33 ,10.76%,90.32%,954,408.9,,105.54,1.76,,,,,,,,,
91441,5/11,切断02,400B FR,"1,728","1,728",,4.00,,,,0.25,,0.17,0.51,,4.00 ,3.58 ,16.67%,89.60%,"1,728",482.1,,184.36,3.07,,,,,,,,,
92001,5/11,切断03,840B SIDE,"1,176","1,176",,3.50,,,,0.25,,0.17,0.61,,3.50 ,3.08 ,14.58%,88.11%,"1,176",381.3,,148.55,2.48,,,,,,,,,
92001,5/11,切断03,840B SIDE,122,122,,0.50,,0.05,,,,,0.18,,0.50 ,0.45 ,2.08%,90.00%,122,271.1,,16.28,0.27,,,,,,,,,
,5/11,切断04,836D RR,480,480,,1.43,,,,,,,0.34,,1.43 ,1.43 ,5.97%,100.00%,480,335.0,,65.83,1.10,,,,,,,,,
,5/11,切断04,836D RR,928,928,,2.57,,0.07,,0.25,,,0.06,,2.57 ,2.25 ,10.69%,87.69%,928,412.4,,131.38,2.19,,,,,,,,,
90301,5/11,切断05,3X45 対米 FR,"1,204","1,204",,4.00,,,,0.25,,0.17,0.49,,4.00 ,3.58 ,16.67%,89.60%,"1,204",335.9,,185.53,3.09,,,,,,,,,
92201,5/12,切断01,970B 3RD,846,846,,1.97,,,,,,,0.39,,1.97 ,1.97 ,8.19%,100.00%,846,430.3,,94.3,1.57,,,,,,,,,
92201,5/12,切断01,970B 3RD,"1,800","1,800",,5.45,,0.15,,,,0.50,0.63,0.83,4.62 ,3.97 ,19.24%,85.92%,"1,800",453.7,,200.4,3.34,,,,,,,,,
92431,5/12,切断01,410D RR,"2,934","2,934",,6.25,,0.17,,0.25,,,0.32,,6.25 ,5.83 ,26.04%,93.34%,"2,934",502.9,,331.12,5.52,,,,,,,,,
92441,5/12,切断01,310D CTR,"2,934","2,934",,5.58,,0.08,,0.25,,,-0.17,,5.58 ,5.25 ,23.26%,94.04%,"2,934",558.9,,325.43,5.42,,,,,,,,,
92441,5/12,切断01,310D CTR,"2,196","2,196",,4.75,,,,0.25,,,0.48,,4.75 ,4.50 ,19.79%,94.74%,"2,196",488.0,,241.01,4.02,,,,,,,,,
91441,5/12,切断02,400B FR,"2,346","2,346",,5.67,,,,,,0.25,0.53,0.83,4.83 ,4.58 ,20.14%,94.83%,"2,346",511.9,,243.46,4.06,,,,,,,,,
,5/12,切断02,655D 3RD SIDE,"1,956","1,956",,5.58,,0.33,,0.25,,1.00,0.56,,5.58 ,4.00 ,23.26%,71.65%,"1,956",489.0,,206.21,3.44,,,,,,,,,
,5/12,切断02,655D 3RD SIDE,"1,956","1,956",,5.00,,,,0.50,,0.50,0.52,,5.00 ,4.00 ,20.83%,80.00%,"1,956",489.0,,208.56,3.48,,,,,,,,,
91301,5/12,切断02,240B SD,"2,608","2,608",,6.25,,0.08,,0.25,,0.92,0.52,,6.25 ,5.00 ,26.04%,80.02%,"2,608",521.5,,268.58,4.48,,,,,,,,,
91301,5/12,切断02,240B SD,600,600,,1.50,,0.07,,,,,0.45,,1.50 ,1.43 ,6.25%,95.60%,600,418.4,,59.03,0.98,,,,,,,,,
92001,5/12,切断03,840B SIDE,"1,834","1,834",,4.75,,,,,,0.17,0.49,,4.75 ,4.58 ,19.79%,96.51%,"1,834",400.1,,245.46,4.09,,,,,,,,,
92001,5/12,切断03,840B SIDE,"1,956","1,956",,6.08,,0.25,,,,0.33,0.54,0.83,5.25 ,4.67 ,21.88%,88.90%,"1,956",419.1,,247.6,4.13,,,,,,,,,
#N/A,5/12,切断03,3PKA RR,140,140,,0.42,,0.08,,,,,0.04,,0.42 ,0.33 ,1.73%,80.05%,140,420.4,,17.45,0.29,,,,,,,,,
92381,5/12,切断03,5A45 X1,"2,500","2,500",,5.83,,0.08,,0.25,,,-0.09,,5.83 ,5.50 ,24.30%,94.29%,"2,500",454.5,,335.52,5.59,,,,,,,,,
91631,5/12,切断03,5A45 FR,"1,592","1,592",,6.92,,0.08,2.80,,,,0.50,,6.92 ,4.03 ,28.82%,58.31%,"1,592",394.7,,212.03,3.53,,,,,,,,,
,5/12,切断04,836D RR,"1,028","1,028",,2.55,,,,,,,0.13,,2.55 ,2.55 ,10.63%,100.00%,"1,028",403.1,,145.41,2.42,,,,,,,,,
,5/12,切断04,410D CTR,"1,956","1,956",,7.62,1.00,0.27,,0.25,,0.17,0.52,0.83,5.78 ,5.10 ,24.10%,88.14%,"1,956",383.8,,274.45,4.57,,,,,,,,,
92551,5/12,切断04,BY2 CTR,"2,934","2,934",,8.08,,0.08,,0.75,,,0.40,,8.08 ,7.25 ,33.68%,89.69%,"2,934",404.7,,411,6.85,,,,,,,,,
92551,5/12,切断04,BY2 CTR,"1,760","1,760",,5.75,,,,0.25,,0.83,0.53,,5.75 ,4.67 ,23.96%,81.17%,"1,760",377.1,,248.05,4.13,,,,,,,,,
