社内品番,日付,ライン,品名,生産計画数,生産数,不良数,シフト,残業,段取,修理,調整,休憩,対応待ち（残業中未復旧）,停止時間(計画停止),作業すべき時間,作業時間,稼働率,作業率,能率,段取・調整,黄箱品,60,
90011,5/19,成型12号,011B CTR,"2,078","1,452",,14.92,,0.92,,0.45,2.50,,,12.42 ,11.05 ,51.75%,88.97%,131.4,2,,663,11.05
92011,5/19,成型13号,840B 2ND CTR,"1,892","1,737",,18.00,6.00,,,0.45,2.00,,,22.00 ,21.55 ,91.67%,97.95%,80.6,,,1293,21.55
92691,5/19,成型14号,655D 3RD CTR,828,"1,323",,18.00,,,,0.33,2.67,,,15.33 ,15.00 ,63.88%,97.85%,88.2,,,900,15.00
91301,5/19,成型15号,240B SD,"4,692","4,008",,18.00,6.00,,,0.53,1.00,0.40,,23.00 ,22.07 ,95.83%,95.96%,181.6,,,1324,22.07
92401,5/19,成型16号,3BV FR,24,779,,5.83,4.00,,,0.03,0.33,,,9.50 ,9.47 ,39.58%,99.68%,82.3,,,568,9.47
92511,5/19,成型16号,NB8 US,"2,518","1,369",,12.17,2.00,2.00,,0.72,1.33,,,12.84 ,10.12 ,53.50%,78.82%,135.3,4,,607,10.12
91441,5/19,成型17号,400B FR,"2,030","2,494",,18.00,3.67,,,0.57,2.67,,,19.00 ,18.43 ,79.17%,97.00%,135.3,,,1106,18.43
91581,5/19,成型18号,D01L RR,"3,152","3,224",,18.00,6.00,,,0.05,1.33,,,22.67 ,22.62 ,94.46%,99.78%,142.5,,,1357,22.62
91111,5/19,成型19号,TTA,"2,030","2,423",,18.00,2.00,,,0.40,2.50,,,17.50 ,17.10 ,72.92%,97.71%,141.7,,,1026,17.10
92441,5/19,成型20号,310D CTR,"3,316","3,101",,18.00,6.00,,,0.08,1.50,,,22.50 ,22.42 ,93.75%,99.64%,138.3,,,1345,22.42
92591,5/19,成型21号,554D CTR,"1,722","1,498",,18.00,,,,0.45,2.67,,1.00,14.33 ,13.88 ,59.71%,96.86%,107.9,,,833,13.88
92661,5/19,成型22号,CH2 RR,"2,139","1,891",,18.00,,,,0.65,2.67,,1.00,14.33 ,13.68 ,59.71%,95.46%,138.2,,,821,13.68
92571,5/19,成型23号,P13C FR,"2,075","1,521",3,18.00,6.00,1.00,,2.13,2.83,1.67,,21.17 ,16.37 ,88.21%,77.33%,92.9,,,982,16.37
92671,5/19,成型24号,655D 3RD SIDE,"1,655",940,,18.00,6.00,,10.67,,3.00,,,21.00 ,10.33 ,87.50%,49.19%,91.0,,,620,10.33
91521,5/19,成型NC,826B 料金トレー,806,458,,5.00,,,,,,,,5.00 ,5.00 ,20.83%,100.00%,91.6,1,,,
92241,5/20,成型01号,120D 3RD,710,980,,7.55,,,,0.25,1.33,,,6.22 ,5.97 ,25.92%,95.98%,164.2,,,358,5.97
91851,5/20,成型01号,700B CTR 424,"1,076",715,,10.45,,3.22,,,1.33,,,9.12 ,5.90 ,38.00%,64.69%,121.2,7,,354,5.90
91451,5/20,成型02号,400B RR,"1,566","1,990",,18.00,,1.83,,0.28,2.67,,,15.33 ,13.22 ,63.88%,86.24%,150.5,6,,793,13.22
91831,5/20,成型03号,3N0 RR EU,"1,427","1,474",,18.00,,,,0.23,2.67,,,15.33 ,15.10 ,63.88%,98.50%,97.6,,,906,15.10
91441,5/20,成型04号,400B FR,"2,687","2,708",,18.00,6.00,,,0.10,2.67,,,21.33 ,21.23 ,88.88%,99.53%,127.6,,,1274,21.23
92221,5/20,成型05号,900B FR,"2,543","2,278",,18.00,,,,1.13,2.67,,1.00,14.33 ,13.20 ,59.71%,92.11%,172.6,,,792,13.20
91011,5/20,成型06号,HR3 JP,"1,767","2,017",6,18.00,,,,0.16,2.67,,1.00,14.33 ,14.17 ,59.71%,98.88%,142.3,,,850,14.17
92001,5/20,成型07号,840B SIDE,515,548,,4.17,,,,0.02,0.17,,,4.00 ,3.98 ,16.67%,99.50%,137.7,,,239,3.98
92071,5/20,成型07号,030A SIDE,"1,076","1,274",,13.83,,1.30,,,2.33,,1.00,10.50 ,9.20 ,43.75%,87.62%,138.5,6,,552,9.20
92381,5/20,成型08号,5A45 X1,"1,087","1,017",,18.00,,0.83,,0.03,2.67,,,15.33 ,14.47 ,63.88%,94.39%,70.3,,,868,14.47
92201,5/20,成型09号,970B 3RD,"1,148","1,387",,18.00,2.00,,,,2.67,,,17.33 ,17.33 ,72.21%,100.00%,80.0,,,1040,17.33
91321,5/20,成型10号,XC2A RR,"2,370","2,490",,18.00,6.00,,,0.05,2.50,,,21.50 ,21.45 ,89.58%,99.77%,116.1,,,1287,21.45
92121,5/20,成型11号,990B CTR,"3,220","3,134",,18.00,6.00,,,0.11,0.17,,,23.83 ,23.72 ,99.29%,99.54%,132.1,,,1423,23.72
90011,5/20,成型12号,011B CTR,"2,078","2,043",,18.00,0.83,,,0.96,2.67,,,16.16 ,15.20 ,67.33%,94.06%,134.4,,,912,15.20
92011,5/20,成型13号,840B 2ND CTR,80,219,,2.00,1.00,,,0.10,0.17,,,2.83 ,2.73 ,11.79%,96.47%,80.2,,,164,2.73
92021,5/20,成型13号,840B CTR,"1,973","1,487",,16.00,2.00,1.00,,0.38,1.67,,,16.33 ,14.95 ,68.04%,91.55%,99.5,4,,897,14.95
92691,5/20,成型14号,655D 3RD CTR,"1,350","1,364",,18.00,,,,0.15,2.50,,,15.50 ,15.35 ,64.58%,99.03%,88.9,,,921,15.35
91301,5/20,成型15号,240B SD,"4,692","4,543",,18.00,6.00,,,0.17,1.50,,,22.50 ,22.33 ,93.75%,99.24%,203.4,,,1340,22.33
92511,5/20,成型16号,NB8 US,"2,926","3,059",2,18.00,6.00,,,0.57,1.83,,,22.17 ,21.60 ,92.38%,97.43%,141.6,,,1296,21.60
91441,5/20,成型17号,400B FR,"2,030","2,140",2,18.00,1.50,,,0.65,2.50,,,17.00 ,16.35 ,70.83%,96.18%,130.9,,,981,16.35
91581,5/20,成型18号,D01L RR,"3,152","3,103",2,18.00,6.00,,,0.16,1.67,,,22.33 ,22.17 ,93.04%,99.28%,140.0,,,1330,22.17
91111,5/20,成型19号,TTA,"2,030","2,052",,18.00,,,,0.42,2.33,,,15.67 ,15.25 ,65.29%,97.32%,134.6,,,915,15.25
92441,5/20,成型20号,310D CTR,"3,316","3,250",,18.00,6.00,,,0.07,1.50,,,22.50 ,22.43 ,93.75%,99.69%,144.9,,,1346,22.43
92591,5/20,成型21号,554D CTR,"1,722","1,549",,18.00,,,,0.52,2.50,,1.00,14.50 ,13.98 ,60.42%,96.41%,110.8,,,839,13.98
92661,5/20,成型22号,CH2 RR,"2,139","1,916",,18.00,,,,0.90,2.50,,1.00,14.50 ,13.60 ,60.42%,93.79%,140.9,,,816,13.60
92571,5/20,成型23号,P13C FR,"1,816","1,816",,18.00,6.00,0.37,,1.05,2.83,,,21.17 ,19.75 ,88.21%,93.31%,91.9,,,1185,19.75
92671,5/20,成型24号,655D 3RD SIDE,"1,655","1,560",5,18.00,6.00,,4.97,,2.00,,,22.00 ,17.03 ,91.67%,77.41%,91.6,,,1022,17.03
91521,5/20,成型NC,826B 料金トレー,806,736,,7.50,,,,,,,,7.50 ,7.50 ,31.25%,100.00%,98.1,,,,
91851,5/21,成型01号,700B CTR 424,"1,937","1,747",,18.00,,,,0.11,2.67,,1.00,14.33 ,14.22 ,59.71%,99.23%,122.9,,,853,14.22
91451,5/21,成型02号,400B RR,"2,123","2,209",,18.00,,,,0.38,2.67,,,15.33 ,14.95 ,63.88%,97.52%,147.8,,,897,14.95
91831,5/21,成型03号,3N0 RR EU,"1,440","1,444",,18.00,,,,0.58,2.67,,,15.33 ,14.75 ,63.88%,96.22%,97.9,,,885,14.75
91441,5/21,成型04号,400B FR,"2,709","2,730",,18.00,6.00,,,0.03,2.67,,,21.33 ,21.30 ,88.88%,99.86%,128.2,,,1278,21.30
92221,5/21,成型05号,900B FR,"2,556","2,352",,18.00,,,,0.63,2.67,,1.00,14.33 ,13.70 ,59.71%,95.60%,171.7,,,822,13.70
91011,5/21,成型06号,HR3 JP,"1,780","1,612",59,18.00,,,,2.50,2.67,,1.00,14.33 ,11.83 ,59.71%,82.55%,136.3,,,710,11.83
92071,5/21,成型07号,030A SIDE,"1,937","1,992",,18.00,,,,0.06,2.67,,1.00,14.33 ,14.27 ,59.71%,99.58%,139.6,,,856,14.27
92381,5/21,成型08号,5A45 X1,"1,100","1,112",,18.00,,,,0.13,2.50,,,15.50 ,15.37 ,64.58%,99.16%,72.3,,,922,15.37
92201,5/21,成型09号,970B 3RD,"1,161","1,222",,18.00,,,,0.15,2.50,,,15.50 ,15.35 ,64.58%,99.03%,79.6,,,921,15.35
91321,5/21,成型10号,XC2A RR,"2,388","2,401",,18.00,6.00,,,0.15,2.50,,,21.50 ,21.35 ,89.58%,99.30%,112.5,,,1281,21.35
92121,5/21,成型11号,990B CTR,"3,240","2,802",,18.00,6.00,,,0.19,0.17,0.42,,23.83 ,23.22 ,99.29%,97.44%,120.7,,,1393,23.22
90011,5/21,成型12号,011B CTR,"2,091","2,172",,18.00,1.92,,,0.67,2.67,,,17.25 ,16.58 ,71.88%,96.12%,131.0,,,995,16.58
92021,5/21,成型13号,840B CTR,"2,284","2,313",,18.00,6.00,,,0.32,1.00,,,23.00 ,22.68 ,95.83%,98.61%,102.0,,,1361,22.68
92691,5/21,成型14号,655D 3RD CTR,"1,363","1,344",,18.00,,,,,2.67,,,15.33 ,15.33 ,63.88%,100.00%,87.7,,,920,15.33
91301,5/21,成型15号,240B SD,"2,866","2,989",,18.00,6.00,7.33,,0.59,1.50,,,22.50 ,14.58 ,93.75%,64.80%,205.0,,,875,14.58
92511,5/21,成型16号,NB8 US,"2,945","1,601",,18.00,6.00,,,0.07,2.00,1.50,9.13,12.87 ,11.30 ,53.63%,87.80%,141.7,,,678,11.30
91441,5/21,成型17号,400B FR,"2,046","2,599",,18.00,4.00,,,0.47,2.50,,,19.50 ,19.03 ,81.25%,97.59%,136.6,,,1142,19.03
91581,5/21,成型18号,D01L RR,"3,172","3,094",,18.00,6.00,,,0.28,2.00,,,22.00 ,21.72 ,91.67%,98.73%,142.4,,,1303,21.72
91111,5/21,成型19号,TTA,"2,046","2,470",,18.00,3.50,,,0.41,2.67,,,18.83 ,18.42 ,78.46%,97.82%,134.1,,,1105,18.42
92441,5/21,成型20号,310D CTR,"3,336","3,224",,18.00,6.00,,,0.10,1.33,,,22.67 ,22.57 ,94.46%,99.56%,142.8,,,1354,22.57
92591,5/21,成型21号,554D CTR,"1,735","1,587",,18.00,,,,0.52,2.50,,1.00,14.50 ,13.98 ,60.42%,96.41%,113.5,,,839,13.98
92661,5/21,成型22号,CH2 RR,"2,152","1,872",58,18.00,,,,0.65,2.67,,1.00,14.33 ,13.68 ,59.71%,95.46%,136.8,,,821,13.68
92561,5/21,成型23号,P13C FR SPK,"1,599","1,081",83,18.00,6.00,2.83,,4.11,3.00,1.83,,21.00 ,12.23 ,87.50%,58.24%,88.4,10,,734,12.23
92671,5/21,成型24号,655D 3RD SIDE,"1,677",711,51,18.00,6.00,,12.33,,3.00,,,21.00 ,8.67 ,87.50%,41.29%,82.0,20,,520,8.67
91521,5/21,成型NC,826B 料金トレー,722,789,,9.00,,,,,,,,9.00 ,9.00 ,37.50%,100.00%,87.7,,,,
91851,5/22,成型01号,700B CTR 424,"1,937","1,686",,18.00,,,,0.65,2.67,,1.00,14.33 ,13.68 ,59.71%,95.46%,123.2,,,821,13.68
91451,5/22,成型02号,400B RR,"2,123","2,128",,18.00,,,,1.23,2.67,,,15.33 ,14.10 ,63.88%,91.98%,150.9,,,846,14.10
91831,5/22,成型03号,3N0 RR EU,"1,440","1,479",,18.00,,,,0.08,2.67,,,15.33 ,15.25 ,63.88%,99.48%,97.0,,,915,15.25
91441,5/22,成型04号,400B FR,"2,709","2,874",,18.00,6.00,,,,1.83,,,22.17 ,22.17 ,92.38%,100.00%,129.6,,,1330,22.17
92221,5/22,成型05号,900B FR,"2,556","2,538",,18.00,,,,0.58,2.67,,,15.33 ,14.75 ,63.88%,96.22%,172.1,,,885,14.75
91011,5/22,成型06号,HR3 JP,780,551,23,5.60,,,,1.37,0.33,,,5.27 ,3.90 ,21.96%,74.00%,141.3,,,234,3.90
91011,5/23,成型06号,HR3 JP,,156,,,,,,,,,,,,,,,,6,,
91001,5/22,成型06号,HR3 ENCAP,620,974,,12.40,,1.92,,0.47,2.33,,,10.07 ,7.68 ,41.96%,76.27%,126.8,,,461,7.68
91001,5/23,成型06号,HR3 ENCAP,,117,,,,,,,,,,,,,,,,14,,
92071,5/22,成型07号,030A SIDE,"1,937","2,007",,18.00,,,,0.01,2.67,,1.00,14.33 ,14.32 ,59.71%,99.93%,140.2,,,859,14.32
92381,5/22,成型08号,5A45 X1,"1,100","1,165",,18.00,0.75,,,0.05,2.67,,,16.08 ,16.03 ,67.00%,99.69%,72.7,,,962,16.03
92201,5/22,成型09号,970B 3RD,"1,148","1,227",,18.00,,,,0.13,2.50,,,15.50 ,15.37 ,64.58%,99.16%,79.8,,,922,15.37
91321,5/22,成型10号,XC2A RR,904,870,,3.08,4.00,,,,,,,7.08 ,7.08 ,29.50%,100.00%,122.9,,,425,7.08
92131,5/22,成型10号,032D CTR,"2,102","2,669",,14.92,2.00,0.92,,0.10,1.67,,,15.25 ,14.23 ,63.54%,93.31%,187.6,5,,854,14.23
92121,5/22,成型11号,990B CTR,"2,077","2,412",,13.00,6.00,,,,0.50,,,18.50 ,18.50 ,77.08%,100.00%,130.4,,,1110,18.50
91881,5/22,成型11号,800B CTR,884,418,,5.00,,1.50,,0.18,0.17,,,4.83 ,3.15 ,20.13%,65.22%,132.7,,,189,3.15
90011,5/22,成型12号,011B CTR,"1,260","1,149",,5.42,4.00,,,0.42,0.50,,,8.92 ,8.50 ,37.17%,95.29%,135.2,,,510,8.50
91901,5/22,成型12号,670B CAP,564,668,,12.58,,5.83,,,1.33,,,11.25 ,5.42 ,46.88%,48.18%,123.2,5,,325,5.42
92021,5/22,成型13号,840B CTR,"1,445",195,,18.00,6.00,,18.98,,3.00,,,21.00 ,2.02 ,87.50%,9.62%,96.5,,,121,2.02
92691,5/22,成型14号,655D 3RD CTR,"1,363","1,371",,18.00,,,,,2.67,,,15.33 ,15.33 ,63.88%,100.00%,89.4,,,920,15.33
92001,5/22,成型15号,840B SIDE,"4,316","3,211",,18.00,6.00,2.50,,2.02,1.00,1.50,,23.00 ,16.98 ,95.83%,73.83%,189.1,20,,1019,16.98
92511,5/22,成型16号,NB8 US,"2,945","2,776",,18.00,6.00,0.73,,1.02,2.50,,,21.50 ,19.75 ,89.58%,91.84%,140.6,,,1185,19.75
91441,5/22,成型17号,400B FR,"1,043",418,,2.00,1.50,,,0.07,0.33,,,3.17 ,3.10 ,13.21%,97.79%,134.8,,,186,3.10
92211,5/22,成型17号,960B FR2,737,"1,845",,16.00,2.00,1.00,,0.56,2.17,,1.00,14.83 ,13.27 ,61.79%,89.48%,139.0,4,,796,13.27
91581,5/22,成型18号,D01L RR,"3,172","3,379",,18.00,6.00,,,,0.33,,,23.67 ,23.67 ,98.63%,100.00%,142.8,,,1420,23.67
91111,5/22,成型19号,TTA,"2,046","2,892",,18.00,5.25,,,0.13,2.00,,,21.25 ,21.12 ,88.54%,99.39%,136.9,,,1267,21.12
92441,5/22,成型20号,310D CTR,"3,336","3,471",,18.00,6.00,,,0.10,0.17,,,23.83 ,23.73 ,99.29%,99.58%,146.3,,,1424,23.73
92591,5/22,成型21号,554D CTR,462,582,,7.33,,,,1.08,1.17,,,6.16 ,5.08 ,25.67%,82.47%,114.6,,,305,5.08
90271,5/22,成型21号,3X45 CTR,"1,058",820,11,10.67,,1.75,,0.67,1.17,,,9.50 ,7.08 ,39.58%,74.53%,115.8,3,,425,7.08
92661,5/22,成型22号,CH2 RR,"2,152","2,084",3,18.00,,,,0.04,2.33,,1.00,14.67 ,14.63 ,61.13%,99.73%,142.4,,,878,14.63
92561,5/22,成型23号,P13C FR SPK,840,"1,376",40,12.37,4.00,,,1.29,1.83,,,14.54 ,13.25 ,60.58%,91.13%,103.8,,10,795,13.25
92431,5/22,成型23号,410D RR,687,23,,5.63,,3.94,,,1.17,,,4.46 ,0.52 ,18.58%,11.66%,44.2,,,31,0.52
92671,5/22,成型24号,655D 3RD SIDE,"1,677","1,595",18,18.00,6.00,,,5.58,1.00,,,23.00 ,17.42 ,95.83%,75.74%,91.6,,,1045,17.42
91851,5/25,成型01号,700B CTR 424,"1,937","1,157",,11.00,2.00,,,0.28,1.50,,1.50,10.00 ,9.72 ,41.67%,97.20%,119.0,,,583,9.72
91851,5/25,成型01号,700B CTR 424,,695,,7.00,,,,0.23,1.17,,,5.83 ,5.60 ,24.29%,96.05%,124.1,,,336,5.60
91451,5/25,成型02号,400B RR,"2,922","3,109",,18.00,6.00,,,0.20,2.67,,0.50,20.83 ,20.63 ,86.79%,99.04%,150.7,,,1238,20.63
91451,5/25,成型02号,400B RR,"2,100","2,254",,7.00,11.00,,,0.50,2.67,,,15.33 ,14.83 ,63.88%,96.74%,152.0,,,890,14.83
91831,5/25,成型03号,3N0 RR EU,"1,982","1,400",,11.00,6.00,,,0.23,1.00,,0.50,15.50 ,15.27 ,64.58%,98.52%,91.7,,,916,15.27
91831,5/25,成型03号,3N0 RR EU,,522,,7.00,,,,0.30,1.17,,,5.83 ,5.53 ,24.29%,94.85%,94.4,,,332,5.53
91831,5/23,成型03号,3N0 RR EU,,77,,,,,,,,,,,,,,,,2,,
91441,5/25,成型04号,400B FR,"2,709","2,602",,18.00,6.00,,,0.15,2.83,,0.50,20.67 ,20.52 ,86.13%,99.27%,126.8,,,1231,20.52
91441,5/25,成型04号,400B FR,"1,932","1,842",,7.00,11.00,,,0.15,2.67,,,15.33 ,15.18 ,63.88%,99.02%,121.3,,,911,15.18
92221,5/25,成型05号,900B FR,"2,556","1,786",,11.00,2.00,,,0.10,1.00,,1.50,10.50 ,10.40 ,43.75%,99.05%,171.7,,,624,10.40
92221,5/25,成型05号,900B FR,,956,,7.00,,,,0.28,1.17,,,5.83 ,5.55 ,24.29%,95.20%,172.3,,,333,5.55
91001,5/25,成型06号,HR3 ENCAP,"1,687","1,121",31,11.00,,,,0.07,1.50,,1.50,8.00 ,7.93 ,33.33%,99.13%,141.4,,,476,7.93
91001,5/25,成型06号,HR3 ENCAP,,768,8,7.00,,,,0.16,1.17,,,5.83 ,5.67 ,24.29%,97.26%,135.4,,,340,5.67
92071,5/25,成型07号,030A SIDE,"1,937","1,126",,11.00,,,,0.02,1.50,,1.50,8.00 ,7.98 ,33.33%,99.75%,141.1,,,479,7.98
92071,5/25,成型07号,030A SIDE,,754,,7.00,,,,0.20,1.17,,,5.83 ,5.63 ,24.29%,96.57%,133.9,,,338,5.63
92381,5/25,成型08号,5A45 X1,"1,088",528,,11.00,,,,0.25,1.50,,1.50,8.00 ,7.75 ,33.33%,96.88%,68.1,,,465,7.75
92381,5/25,成型08号,5A45 X1,,383,,7.00,,,,0.18,1.17,,,5.83 ,5.65 ,24.29%,96.91%,67.8,,,339,5.65
92201,5/25,成型09号,970B 3RD,"1,148","1,317",,11.00,9.00,,,0.28,2.67,,0.50,16.83 ,16.55 ,70.13%,98.34%,79.6,,,993,16.55
92201,5/25,成型09号,970B 3RD,"1,148","1,203",,7.00,11.00,,,0.25,2.67,,,15.33 ,15.08 ,63.88%,98.37%,79.8,,,905,15.08
92131,5/25,成型10号,032D CTR,"4,360","3,933",,11.00,13.00,,,0.15,2.33,,0.50,21.17 ,21.02 ,88.21%,99.29%,187.1,,,1261,21.02
92131,5/25,成型10号,032D CTR,"2,896","2,977",,7.00,11.00,,,0.46,1.67,,,16.33 ,15.87 ,68.04%,97.18%,187.6,,,952,15.87
91881,5/25,成型11号,800B CTR,"2,152","2,529",,11.00,13.00,,,0.10,2.50,,0.50,21.00 ,20.90 ,87.50%,99.52%,121.0,,,1254,20.90
91881,5/25,成型11号,800B CTR,"3,240","3,216",,7.00,20.00,,,1.46,1.67,,,25.33 ,23.87 ,105.54%,94.24%,134.7,,,1432,23.87
91901,5/25,成型12号,670B CAP,"2,900","1,892",,11.00,6.00,,,0.13,1.50,,0.50,15.00 ,14.87 ,62.50%,99.13%,127.2,,,892,14.87
91901,5/25,成型12号,670B CAP,,554,,7.00,,,,1.50,1.17,,,5.83 ,4.33 ,24.29%,74.27%,127.9,,,349,5.82
92021,5/25,成型13号,840B CTR,,"1,198",,8.67,4.00,,,0.12,0.33,,0.50,11.84 ,11.72 ,49.33%,98.99%,102.2,,,703,11.72
92611,5/25,成型13号,500D CTR,,287,,2.33,2.00,0.92,,0.09,,,,4.33 ,3.32 ,18.04%,76.67%,86.4,4,,199,3.32
92611,5/25,成型13号,500D CTR,,576,,7.00,,,,0.26,0.17,,,6.83 ,6.57 ,28.46%,96.19%,87.7,,,394,6.57
92691,5/25,成型14号,655D 3RD CTR,"1,363",767,,11.00,,,,0.28,1.50,,0.50,9.00 ,8.72 ,37.50%,96.89%,88.0,,,523,8.72
92691,5/25,成型14号,655D 3RD CTR,,506,,7.00,,,,0.18,1.17,,,5.83 ,5.65 ,24.29%,96.91%,89.6,,,339,5.65
92031,5/25,成型15号,840B 3RD,"2,836","3,939",,11.00,13.00,,,0.27,3.00,,0.50,20.50 ,20.23 ,85.42%,98.68%,194.7,,,1214,20.23
92031,5/25,成型15号,840B 3RD,"1,975","1,869",,1.30,11.00,,,1.20,1.50,,,10.80 ,9.60 ,45.00%,88.89%,194.7,,,576,9.60
92411,5/25,成型15号,P13C RR,"1,574",188,42,5.70,,2.60,0.83,0.02,1.17,,,4.53 ,1.08 ,18.88%,23.84%,174.1,14,,65,1.08
92511,5/25,成型16号,NB8 US,"2,922","2,672",,11.00,13.00,,,1.78,2.67,,0.50,20.83 ,19.05 ,86.79%,91.45%,140.3,,,1143,19.05
92511,5/25,成型16号,NB8 US,"2,123","2,074",,7.00,11.00,,,0.30,2.67,,,15.33 ,15.03 ,63.88%,98.04%,138.0,,,902,15.03
92211,5/25,成型17号,960B FR2,"2,024","1,412",,11.00,2.00,,,0.60,1.50,,0.50,11.00 ,10.40 ,45.83%,94.55%,135.8,,,624,10.40
92211,5/25,成型17号,960B FR2,,698,,7.00,,,,0.63,1.17,,,5.83 ,5.20 ,24.29%,89.19%,134.2,,,312,5.20
91581,5/25,成型18号,D01L RR,"2,107","3,055",,11.00,13.00,,,0.12,1.50,,0.50,22.00 ,21.88 ,91.67%,99.45%,139.6,,,1313,21.88
91581,5/25,成型18号,D01L RR,"1,811",644,,,4.75,,,,0.17,,,4.58 ,4.58 ,19.08%,100.00%,140.6,,,,
91681,5/25,成型18号,D54L RR,"1,008","1,404",,7.00,6.25,0.75,,0.40,1.17,,,12.08 ,10.93 ,50.33%,90.48%,128.5,4,,656,10.93
91111,5/25,成型19号,TTA,"2,024","1,467",,11.00,2.00,,,0.33,1.50,,0.50,11.00 ,10.67 ,45.83%,97.00%,137.5,,,640,10.67
91111,5/25,成型19号,TTA,,815,,7.00,,,,0.28,1.17,,,5.83 ,5.55 ,24.29%,95.20%,146.8,,,333,5.55
92441,5/25,成型20号,310D CTR,"3,336","3,150",,11.00,13.00,,,0.18,1.67,,0.50,21.83 ,21.65 ,90.96%,99.18%,145.5,,,1299,21.65
92441,5/25,成型20号,310D CTR,"2,216","2,946",,7.00,16.00,,,,2.67,,,20.33 ,20.33 ,84.71%,100.00%,144.9,,,1220,20.33
90271,5/25,成型21号,3X45 CTR,"1,732","1,165",,11.00,2.00,,,0.84,1.33,,0.50,11.17 ,10.33 ,46.54%,92.48%,112.8,,,620,10.33
90271,5/25,成型21号,3X45 CTR,,598,4,7.00,,,,0.70,1.00,,,6.00 ,5.30 ,25.00%,88.33%,112.8,,,318,5.30
92661,5/25,成型22号,CH2 RR,"2,128","1,034",,11.00,,,,0.03,1.50,,1.50,8.00 ,7.97 ,33.33%,99.63%,129.7,,,478,7.97
92661,5/25,成型22号,CH2 RR,,754,,7.00,,,,0.67,1.00,,,6.00 ,5.33 ,25.00%,88.83%,141.5,,,320,5.33
92431,5/25,成型23号,410D RR,,"1,456",,11.00,10.00,,,0.35,1.67,,0.50,18.83 ,18.48 ,78.46%,98.14%,78.8,,,1109,18.48
92431,5/25,成型23号,410D RR,,462,,7.00,,,,0.42,1.00,,,6.00 ,5.58 ,25.00%,93.00%,82.8,,,335,5.58
92671,5/25,成型24号,655D 3RD SIDE,690,820,,11.00,13.00,,13.17,,2.00,,,22.00 ,8.83 ,91.67%,40.14%,92.9,,,530,8.83
92671,5/25,成型24号,655D 3RD SIDE,,"2,034",,7.00,18.00,,,0.71,2.67,,,22.33 ,21.62 ,93.04%,96.82%,94.1,,,1297,21.62
91851,5/26,成型01号,700B CTR 424,761,775,,5.00,2.00,,,0.12,0.33,,,6.67 ,6.55 ,27.79%,98.20%,118.3,,,393,6.55
92231,5/26,成型01号,900B RR,"1,110","1,215",,13.00,,3.00,,0.80,2.33,,,10.67 ,6.87 ,44.46%,64.39%,176.9,6,,412,6.87
91451,5/26,成型02号,400B RR,"2,922","3,232",,18.00,6.00,,,0.11,2.67,,,21.33 ,21.22 ,88.88%,99.48%,152.3,,,1273,21.22
91831,5/26,成型03号,3N0 RR EU,"1,982","1,944",,18.00,6.00,,,0.73,3.00,,,21.00 ,20.27 ,87.50%,96.52%,95.9,,,1216,20.27
91441,5/26,成型04号,400B FR,"2,709","2,720",,18.00,6.00,,,0.10,2.83,,,21.17 ,21.07 ,88.21%,99.53%,129.1,,,1264,21.07
92221,5/26,成型05号,900B FR,"2,556","3,200",,18.00,4.00,,,0.69,2.83,,,19.17 ,18.48 ,79.88%,96.40%,173.2,,,1109,18.48
91001,5/26,成型06号,HR3 ENCAP,"1,687","1,980",5,18.00,,,,0.06,2.67,,1.00,14.33 ,14.27 ,59.71%,99.58%,138.8,,,856,14.27
92071,5/26,成型07号,030A SIDE,754,796,,5.90,,,,0.03,,,,5.90 ,5.87 ,24.58%,99.49%,135.6,,,352,5.87
90311,5/26,成型07号,3X45 対米 SIDE,925,"1,122",19,12.10,,0.35,,,2.33,,1.00,8.77 ,8.42 ,36.54%,96.01%,133.3,,,505,8.42
92381,5/26,成型08号,5A45 X1,"1,088","1,019",,18.00,,,,0.86,2.67,,,15.33 ,14.47 ,63.88%,94.39%,70.4,,,868,14.47
92201,5/26,成型09号,970B 3RD,"1,148","1,288",,18.00,2.00,,,0.20,2.67,,1.00,16.33 ,16.13 ,68.04%,98.78%,79.9,,,968,16.13
92131,5/26,成型10号,032D CTR,"3,074","3,340",,13.00,6.00,0.12,,,0.83,,,18.17 ,18.05 ,75.71%,99.34%,185.0,,,1083,18.05
92181,5/26,成型10号,050D CTR,876,825,,5.00,,0.40,,,0.17,,,4.83 ,4.43 ,20.13%,91.72%,186.2,3,,266,4.43
91881,5/26,成型11号,800B CTR,"3,240","3,213",,18.00,6.00,,,0.57,1.00,,,23.00 ,22.43 ,95.83%,97.52%,143.2,,,1346,22.43
91901,5/26,成型12号,670B CAP,"2,900","2,819",,18.00,6.00,,,0.47,1.00,,,23.00 ,22.53 ,95.83%,97.96%,125.1,,,1352,22.53
92611,5/26,成型13号,500D CTR,"2,052","2,027",,18.00,6.00,,,0.05,0.50,,,23.50 ,23.45 ,97.92%,99.79%,86.4,,,1407,23.45
92691,5/26,成型14号,655D 3RD CTR,"1,363","1,330",,18.00,,,,0.45,2.67,,,15.33 ,14.88 ,63.88%,97.06%,89.4,,,893,14.88
92411,5/26,成型15号,P13C RR,"3,485","3,760",,18.00,6.00,1.22,,0.26,2.50,,,21.50 ,20.02 ,89.58%,93.12%,187.8,,,1201,20.02
