社内品番,日付,ライン,品名,生産計画数,生産数,不良数,シフト,残業,段取,修理,調整,休憩,対応待ち（残業中未復旧）,停止時間(計画停止),作業すべき時間,作業時間,稼働率,作業率,能率,段取・調整,黄箱品,60,
92671,4/16,成型24号,655D 3RD SIDE,"1,661","1,659",,18.00,6.00,,,0.07,2.33,,,21.67 ,21.60 ,90.29%,99.68%,76.8,,,1296,21.60
91711,4/17,成型01号,581B RR,"1,383","1,305",,18.00,,1.27,,1.36,2.67,,,15.33 ,12.70 ,63.88%,82.84%,102.8,4,,762,12.70
91451,4/17,成型02号,400B RR,"2,918","2,620",,18.00,6.00,,,1.08,3.00,1.50,,21.00 ,18.42 ,87.50%,87.71%,142.2,,,1105,18.42
91831,4/17,成型03号,3N0 RR EU,"1,423","1,458",,18.00,,,,0.13,2.00,,,16.00 ,15.87 ,66.67%,99.19%,91.9,,,952,15.87
91441,4/17,成型04号,400B FR,"2,684","2,522",,18.00,6.00,,,0.67,3.00,,,21.00 ,20.33 ,87.50%,96.81%,124.1,,,1353,22.55
92221,4/17,成型05号,900B FR,"2,524","2,452",,18.00,,,,,2.67,,,15.33 ,15.33 ,63.88%,100.00%,159.9,,0.95,863,14.38
91011,4/17,成型06号,HR3 JP,"1,760","1,815",,18.00,,,,0.31,2.67,,,15.33 ,15.02 ,63.88%,97.98%,120.8,,,901,15.02
92001,4/17,成型07号,840B SIDE,"1,912","1,934",1,18.00,,,,0.08,2.67,,1.00,14.33 ,14.25 ,59.71%,99.44%,135.7,,,855,14.25
92391,4/17,成型08号,5A45 V2,"1,654","1,581",,18.00,6.00,,,0.12,1.00,,,23.00 ,22.88 ,95.83%,99.48%,69.1,,,1373,22.88
92201,4/17,成型09号,970B 3RD,"1,148","1,205",1,18.00,,,,0.13,2.50,,,15.50 ,15.37 ,64.58%,99.16%,78.4,,,922,15.37
92781,4/17,成型10号,410D CTR,"2,188","2,620",5,18.00,1.50,,,0.56,1.67,,,17.83 ,17.27 ,74.29%,96.86%,151.7,,,1036,17.27
