社内品番,日付,ライン,品名,面取計画,面取生産数,面取不良,SW計画,SW生産数,SW不良,シフト,残業,段取,修理,調整,チョコ停,休憩,停止時間,作業すべき時間,作業時間,稼働率,作業率,生産総数,能率
92691,4/28,面取01,655D 3RD CTR,,,,"3,815","3,815",,14.95,,,,,,0.67,,14.28 ,14.28 ,60%,100.00%,"3,815",267.1
92531,4/28,面取02,X11M FR2,"1,113","1,103",10,,,,3.00,,,,,,0.17,,2.83 ,2.83 ,12%,100.00%,"1,103",389.2
92011,4/28,面取03,840B 2ND CTR,,,,"1,307","1,307",,4.17,,,,,,0.17,,4.00 ,4.00 ,17%,100.00%,"1,307",326.8
91441,4/28,面取03,400B FR,,,,347,347,,1.33,,,,,,,,1.33 ,1.33 ,6%,100.00%,347,260.3
92481,4/28,面取07,155D RR,,,,"4,437","4,437",,15.15,,,,,,0.67,,14.48 ,14.48 ,60%,100.00%,"4,437",306.3
91441,4/28,面取08,400B FR,"4,151","4,151",,,,,10.00,,,,,,0.50,,9.50 ,9.50 ,40%,100.00%,"4,151",436.9
92221,4/28,面取09,900B FR,"1,427","1,427",,,,,4.83,,,,,,0.17,,4.67 ,4.67 ,19%,100.00%,"1,427",305.8
92671,4/28,面取10,655D 3RD SIDE,697,697,,,,,1.33,,,,,,,,1.33 ,1.33 ,6%,100.00%,697,522.9
92691,5/6,面取01,655D 3RD CTR,,,,"3,035","3,035",,11.82,,,,,,0.50,,11.32 ,11.32 ,47%,100.00%,"3,035",268.2
92531,5/6,面取02,X11M FR2,"1,382","1,382",,,,,3.62,,,,,,0.17,,3.45 ,3.45 ,14%,100.00%,"1,382",400.6
91441,5/6,面取03,400B FR,,,,"2,222","2,222",,8.85,,,,,,0.33,,8.52 ,8.52 ,35%,100.00%,"2,222",260.9
91111,5/6,面取05,TTA,,,,467,467,,1.88,,,,,,,,1.88 ,1.88 ,8%,100.00%,467,248.0
92481,5/6,面取07,155D RR,,,,"3,613","3,613",,12.48,,,,,,0.50,,11.98 ,11.98 ,50%,100.00%,"3,613",301.5
91441,5/6,面取08,400B FR,393,393,,,,,1.00,,,,,,,,1.00 ,1.00 ,4%,100.00%,393,393.0
92221,5/6,面取09,900B FR,"3,218","3,218",,,,,12.00,,,,,,0.50,,11.50 ,11.50 ,48%,100.00%,"3,218",279.8
92781,5/7,面取01,410D CTR,,,,"4,103","4,103",,17.00,,,,,,0.67,,16.33 ,16.33 ,68%,100.00%,"4,103",251.2
91591,5/7,面取02,モニートクッション,592,592,,,,,1.50,,,,,,,,1.50 ,1.50 ,6%,100.00%,592,394.7
91441,5/7,面取03,400B FR,,,,"1,989","1,989",,9.57,,,,,,0.33,,9.23 ,9.23 ,38%,100.00%,"1,989",215.4
92201,5/7,面取03,970B 3RD,,,,559,559,,5.10,,,3.00,,,,,5.10 ,2.10 ,21%,41.18%,559,266.2
91111,5/7,面取05,TTA,,,,"3,460","3,460",,14.28,,,,,,0.67,,13.62 ,13.62 ,57%,100.00%,"3,460",254.1
92481,5/7,面取07,155D RR,,,,355,355,,1.27,,,,,,,,1.27 ,1.27 ,5%,100.00%,355,280.4
92751,5/7,面取07,410D FR1,,,,"3,691","3,691",,14.12,,,,,,0.67,,13.45 ,13.45 ,56%,100.00%,"3,691",274.4
92221,5/7,面取09,900B FR,"1,344","1,344",,,,,6.50,,,,,,0.33,,6.17 ,6.17 ,26%,100.00%,"1,344",217.9
91681,5/7,面取09,D54L RR,"3,264","3,264",,,,,10.50,,,,,,0.50,,10.00 ,10.00 ,42%,100.00%,"3,264",326.4
92781,5/8,面取01,410D CTR,,,,"4,330","4,330",,16.68,,,,,,0.67,,16.02 ,16.02 ,67%,100.00%,"4,330",270.3
91181,5/8,面取02,X61G 3RD,"2,421","2,421",,,,,6.63,,,,,,0.33,,6.30 ,6.30 ,26%,100.00%,"2,421",384.3
92201,5/8,面取03,970B 3RD,,,,"2,912","2,912",,12.67,,,,,,0.50,,12.17 ,12.17 ,51%,100.00%,"2,912",239.4
91441,5/8,面取03,400B FR,,,,658,658,,2.83,,,,,,0.17,,2.67 ,2.67 ,11%,100.00%,658,246.7
91111,5/8,面取05,TTA,,,,"2,048","2,048",,8.37,,,,,,0.33,,8.03 ,8.03 ,33%,100.00%,"2,048",254.9
91491,5/8,面取05,TKR FR,,,,"1,464","1,464",,6.33,,,,,,0.33,,6.00 ,6.00 ,25%,100.00%,"1,464",244.0
92751,5/8,面取07,410D FR1,,,,"4,104","4,104",,14.32,,,,,,0.67,,13.65 ,13.65 ,57%,100.00%,"4,104",300.7
91441,5/8,面取08,400B FR,"4,549","4,549",,,,,14.00,,,,,,0.50,,13.50 ,13.50 ,56%,100.00%,"4,549",337.0
91681,5/8,面取09,D54L RR,"1,535","1,535",,,,,7.00,,,,,,0.33,,6.67 ,6.67 ,28%,100.00%,"1,535",230.2
91671,5/8,面取09,D54L CTR,"3,511","3,511",,,,,13.00,,,,,,0.50,,12.50 ,12.50 ,52%,100.00%,"3,511",280.9
92671,5/8,面取10,655D 3RD SIDE,"3,909","3,909",,,,,9.27,,,,,,0.33,,8.93 ,8.93 ,37%,100.00%,"3,909",437.6
92781,5/9,面取01,410D CTR,,,,"2,967","2,967",,12.35,,,,,,0.50,,11.85 ,11.85 ,49%,100.00%,"2,967",250.4
91181,5/9,面取02,X61G 3RD,566,566,,,,,1.42,,,,,,,,1.42 ,1.42 ,6%,100.00%,566,399.7
91441,5/9,面取03,400B FR,,,,"1,623","1,623",,6.58,,,,,,0.33,,6.25 ,6.25 ,26%,100.00%,"1,623",259.7
92431,5/9,面取03,410D RR,,,,"1,384","1,384",,6.00,,,,,,0.33,,5.67 ,5.67 ,24%,100.00%,"1,384",244.2
91491,5/9,面取05,TKR FR,,,,"3,034","3,034",,4.26,,,,,,0.17,,4.09 ,4.09 ,17%,100.00%,"3,034",741.1
92751,5/9,面取07,410D FR1,,,,"2,687","2,687",,9.33,,,,,,0.33,,9.00 ,9.00 ,38%,100.00%,"2,687",298.6
92601,5/9,面取07,554D SD,,,,506,506,,1.50,,,,,,,,1.50 ,1.50 ,6%,100.00%,506,337.3
91441,5/9,面取08,400B FR,"2,397","2,397",,,,,5.50,,,,,,0.17,,5.33 ,5.33 ,22%,100.00%,"2,397",449.4
91671,5/9,面取09,D54L CTR,"1,879","1,879",,,,,7.50,,,,,,0.33,,7.17 ,7.17 ,30%,100.00%,"1,879",262.2
92221,5/9,面取09,900B FR,"2,282","2,282",,,,,7.50,,,,,,0.33,,7.17 ,7.17 ,30%,100.00%,"2,282",318.4
92161,5/11,面取01,3V0 FR プレート,,,,"1,073","1,073",,3.88,,,,,,0.17,,3.72 ,3.72 ,15%,100.00%,"1,073",288.7
92431,5/11,面取03,410D RR,,,,"2,151","2,151",,16.28,,,,,,0.67,,15.62 ,15.62 ,65%,100.00%,"2,151",137.7
91491,5/11,面取05,TKR FR,,,,502,502,,10.27,,,,,,0.33,,9.93 ,9.93 ,41%,100.00%,502,50.5
91111,5/11,面取05,TTA,,,,224,224,,0.88,,,,,,,,0.88 ,0.88 ,4%,100.00%,224,253.7
92601,5/11,面取07,554D SD,,,,"1,090","1,090",,5.57,,,,,,0.17,,5.40 ,5.40 ,23%,100.00%,"1,090",201.9
91441,5/11,面取08,400B FR,"1,416","1,416",,,,,3.67,,,,,,0.17,,3.50 ,3.50 ,15%,100.00%,"1,416",404.6
92221,5/11,面取09,900B FR,"1,211","1,211",,,,,3.67,,,,,,0.17,,3.50 ,3.50 ,15%,100.00%,"1,211",346.0
92161,5/12,面取01,3V0 FR プレート,,,,"2,522","2,522",,9.03,,,,,,0.33,,8.70 ,8.70 ,36%,100.00%,"2,522",289.9
92781,5/12,面取01,410D CTR,,,,"1,580","1,580",,6.03,,,,,,0.17,,5.87 ,5.87 ,24%,100.00%,"1,580",269.3
92431,5/12,面取03,410D RR,,,,"2,287","2,287",,11.12,,,1.00,,,0.33,,10.78 ,9.78 ,45%,90.73%,"2,287",233.8
91441,5/12,面取03,400B FR,,,,"1,487","1,487",,5.83,,,,,,0.17,,5.67 ,5.67 ,24%,100.00%,"1,487",262.4
91111,5/12,面取05,TTA,,,,"3,698","3,698",,15.30,,,,,,0.67,,14.63 ,14.63 ,61%,100.00%,"3,698",252.7
92601,5/12,面取07,554D SD,,,,"3,603","3,603",,12.73,,,,,,0.50,,12.23 ,12.23 ,51%,100.00%,"3,603",294.5
92751,5/12,面取07,410D FR1,,,,"1,000","1,000",,3.58,,,,,,0.17,,3.42 ,3.42 ,14%,100.00%,"1,000",292.7
91441,5/12,面取08,400B FR,"3,398","3,398",,,,,8.92,,,,,,0.33,,8.58 ,8.58 ,36%,100.00%,"3,398",395.9
92221,5/12,面取09,900B FR,"5,177","5,177",,,,,18.17,,,,,,0.83,,17.33 ,17.33 ,72%,100.00%,"5,177",298.7
92671,5/12,面取10,655D 3RD SIDE,"2,673","2,673",,,,,5.78,,,,,,0.17,,5.62 ,5.62 ,23%,100.00%,"2,673",475.9
92781,5/13,面取01,410D CTR,,,,368,368,,1.33,,,,,,,,1.33 ,1.33 ,6%,100.00%,368,276.1
92431,5/13,面取01,410D RR,,,,"2,927","2,927",,11.37,,,,,,0.50,,10.87 ,10.87 ,45%,100.00%,"2,927",269.4
92551,5/13,面取01,BY2 CTR,,,,321,321,,1.20,,,,,,,,1.20 ,1.20 ,5%,100.00%,321,267.5
91441,5/13,面取03,400B FR,,,,"3,071","3,071",,12.18,,,,,,0.50,,11.68 ,11.68 ,49%,100.00%,"3,071",262.9
92201,5/13,面取03,970B 3RD,,,,549,549,,2.20,,,,,,0.17,,2.03 ,2.03 ,8%,100.00%,549,269.9
91111,5/13,面取05,TTA,,,,"2,057","2,057",,8.38,,,,,,0.33,,8.05 ,8.05 ,34%,100.00%,"2,057",255.5
91491,5/13,面取05,TKR FR,,,,"1,534","1,534",,6.40,,,,,,0.33,,6.07 ,6.07 ,25%,100.00%,"1,534",252.8
92751,5/13,面取07,410D FR1,,,,"1,981","1,981",,8.42,,,,,,0.33,,8.08 ,8.08 ,34%,100.00%,"1,981",245.1
91301,5/13,面取07,240B SD,,,,"2,107","2,107",,7.40,,,,,,0.33,,7.07 ,7.07 ,29%,100.00%,"2,107",298.1
91441,5/13,面取08,400B FR,"4,182","4,182",,,,,11.08,,,,,,0.50,,10.58 ,10.58 ,44%,100.00%,"4,182",395.2
92221,5/13,面取09,900B FR,434,434,,,,,1.00,,,,,,,,1.00 ,1.00 ,4%,100.00%,434,434.0
91671,5/13,面取09,D54L CTR,"3,886","3,886",,,,,13.17,,,,,,0.50,,12.67 ,12.67 ,53%,100.00%,"3,886",306.8
92671,5/13,面取10,655D 3RD SIDE,"1,233","1,233",,,,,2.83,,,,,,0.17,,2.67 ,2.67 ,11%,100.00%,"1,233",462.3
92551,5/14,面取01,BY2 CTR,,,,"4,508","4,508",,17.35,,,,,,0.67,,16.68 ,16.68 ,70%,100.00%,"4,508",270.2
91521,5/14,面取02,826B 料金トレー,,,,"1,228","1,228",,5.08,,,,,,0.17,,4.92 ,4.92 ,20%,100.00%,"1,228",249.7
92201,5/14,面取03,970B 3RD,,,,"3,049","3,049",,11.83,,,,,,0.50,,11.33 ,11.33 ,47%,100.00%,"3,049",269.0
91441,5/14,面取03,400B FR,,,,397,397,,1.50,,,,,,,,1.50 ,1.50 ,6%,100.00%,397,264.7
91491,5/14,面取05,TKR FR,,,,966,966,,3.93,,,,,,0.17,,3.77 ,3.77 ,16%,100.00%,966,256.4
92401,5/14,面取05,3BV FR,,,,"2,600","2,600",,10.60,,,,,,0.33,,10.27 ,10.27 ,43%,100.00%,"2,600",253.2
91301,5/14,面取07,240B SD,,,,"3,919","3,919",,13.65,,,,,,0.50,,13.15 ,13.15 ,55%,100.00%,"3,919",298.0
91671,5/14,面取09,D54L CTR,"4,205","4,205",,,,,20.17,,,,,,0.83,,19.33 ,19.33 ,81%,100.00%,"4,205",217.5
92551,5/15,面取01,BY2 CTR,,,,"3,943","3,943",,15.43,,,,,,0.67,,14.77 ,14.77 ,62%,100.00%,"3,943",267.0
92691,5/15,面取01,655D 3RD CTR,,,,128,128,,0.50,,,,,,,,0.50 ,0.50 ,2%,100.00%,128,256.0
91521,5/15,面取02,826B 料金トレー,,,,754,754,,3.17,,,,,,0.17,,3.00 ,3.00 ,13%,100.00%,754,251.3
92511,5/15,面取02,NB8 US,"3,867","3,867",,,,,12.45,,,,,,0.50,,11.95 ,11.95 ,50%,100.00%,"3,867",323.6
91441,5/15,面取03,400B FR,,,,"3,930","3,930",,15.37,,,,,,0.67,,14.70 ,14.70 ,61%,100.00%,"3,930",267.3
92401,5/15,面取05,3BV FR,,,,399,399,,1.53,,,,,,,,1.53 ,1.53 ,6%,100.00%,399,260.3
91111,5/15,面取05,TTA,,,,"3,053","3,028",25,12.53,,,,,,0.50,,12.03 ,12.03 ,50%,100.00%,"3,028",251.6
91301,5/15,面取07,240B SD,,,,"4,462","4,462",,15.70,,,,,,0.67,,15.03 ,15.03 ,63%,100.00%,"4,462",296.8
91441,5/15,面取08,400B FR,"4,560","4,560",,,,,15.83,,,,,,0.67,,15.17 ,15.17 ,63%,100.00%,"4,560",300.7
92221,5/15,面取09,900B FR,"4,563","4,563",,,,,18.50,,,,,,0.83,,17.67 ,17.67 ,74%,100.00%,"4,563",258.3
92691,5/18,面取01,655D 3RD CTR,,,,"5,738","5,738",,22.55,,,,,,1.00,,21.55 ,21.55 ,90%,100.00%,"5,738",266.3
91441,5/18,面取01,400B FR,,,,"2,282","2,282",,8.83,,,,,,0.33,,8.50 ,8.50 ,35%,100.00%,"2,282",268.5
92511,5/18,面取02,NB8 US,"2,084","2,084",,,,,6.40,,,,,,0.33,,6.07 ,6.07 ,25%,100.00%,"2,084",343.5
91441,5/18,面取03,400B FR,,,,210,210,,0.80,,,,,,,,0.80 ,0.80 ,3%,100.00%,210,262.5
92201,5/18,面取03,970B 3RD,,,,"3,596","3,596",,14.02,,,,,,0.67,,13.35 ,13.35 ,56%,100.00%,"3,596",269.4
92011,5/18,面取03,840B 2ND CTR,,,,"2,281","2,281",,7.33,,,,,,0.33,,7.00 ,7.00 ,29%,100.00%,"2,281",325.9
91111,5/18,面取05,TTA,,,,"2,894","2,894",,11.65,,,,,,0.50,,11.15 ,11.15 ,46%,100.00%,"2,894",259.6
92571,5/18,面取05,P13C FR,,,,"4,798","4,798",,19.35,,,,,,0.83,,18.52 ,18.52 ,77%,100.00%,"4,798",259.1
91301,5/18,面取07,240B SD,,,,"8,554","8,554",,29.58,,,,,,1.17,,28.42 ,28.42 ,118%,100.00%,"8,554",301.0
91441,5/18,面取08,400B FR,"6,845","6,845",,,,,19.83,,,,,,0.83,,19.00 ,19.00 ,79%,100.00%,"6,845",360.3
92221,5/18,面取09,900B FR,"6,826","6,826",,,,,25.67,,,,,,1.33,,24.33 ,24.33 ,101%,100.00%,"6,826",280.5
92671,5/18,面取10,655D 3RD SIDE,"3,585","3,585",,,,,7.37,,,,,,0.33,,7.03 ,7.03 ,29%,100.00%,"3,585",509.7
91441,5/19,面取01,400B FR,,,,"2,615","2,615",,11.40,,,,,,0.50,,10.90 ,10.90 ,45%,100.00%,"2,615",239.9
92021,5/19,面取03,840B CTR,,,,"3,641","3,641",,11.58,,,,,,0.50,,11.08 ,11.08 ,46%,100.00%,"3,641",328.5
92571,5/19,面取05,P13C FR,,,,190,190,,1.10,,,,,,,,1.10 ,1.10 ,5%,100.00%,190,172.7
92561,5/19,面取05,P13C FR SPK,,,,"2,500","2,500",,10.22,,,,,,0.33,,9.88 ,9.88 ,41%,100.00%,"2,500",253.0
91111,5/19,面取05,TTA,,,,759,759,,3.17,,,,,,0.17,,3.00 ,3.00 ,13%,100.00%,759,253.0
91301,5/19,面取07,240B SD,,,,"1,782","1,782",,6.08,,,,,,0.17,,5.92 ,5.92 ,25%,100.00%,"1,782",301.2
92431,5/19,面取07,410D RR,,,,"2,060","2,060",,7.72,,,,,,0.33,,7.38 ,7.38 ,31%,100.00%,"2,060",279.0
92221,5/19,面取09,900B FR,"4,282","4,282",,,,,15.33,,,,,,0.67,,14.67 ,14.67 ,61%,100.00%,"4,282",291.9
92671,5/19,面取10,655D 3RD SIDE,"2,278","2,278",,,,,4.75,,,,,,0.17,,4.58 ,4.58 ,19%,100.00%,"2,278",496.9
91441,5/20,面取01,400B FR,,,,"1,949","1,949",,7.52,,,,,,0.33,,7.18 ,7.18 ,30%,100.00%,"1,949",271.3
92131,5/20,面取01,032D CTR,,,,"1,984","1,984",,7.70,,,,,,0.33,,7.37 ,7.37 ,31%,100.00%,"1,984",269.3
92021,5/20,面取03,840B CTR,,,,"2,702","2,702",,9.33,,,,,,0.33,,9.00 ,9.00 ,38%,100.00%,"2,702",300.2
91111,5/20,面取05,TTA,,,,"3,625","3,618",7,14.82,,,,,,0.67,,14.15 ,14.15 ,59%,100.00%,"3,618",255.7
92431,5/20,面取07,410D RR,,,,"3,802","3,802",,13.22,,,,,,0.50,,12.72 ,12.72 ,53%,100.00%,"3,802",299.0
91441,5/20,面取08,400B FR,"3,941","3,941",,,,,15.67,,,,,,0.67,,15.00 ,15.00 ,63%,100.00%,"3,941",262.7
92221,5/20,面取09,900B FR,"2,556","2,556",,,,,9.00,,,,,,0.33,,8.67 ,8.67 ,36%,100.00%,"2,556",294.9
92131,5/21,面取01,032D CTR,,,,"4,181","4,181",,16.80,,,,,,0.67,,16.13 ,16.13 ,67%,100.00%,"4,181",259.1
92031,5/21,面取03,840B 3RD,,,,"3,590","3,590",,14.37,,,,,,0.67,,13.70 ,13.70 ,57%,100.00%,"3,590",262.0
92511,5/21,面取04,NB8 US,"1,864","1,864",,,,,4.78,,,,,,0.17,,4.62 ,4.62 ,19%,100.00%,"1,864",403.7
91111,5/21,面取05,TTA,,,,"2,999","2,999",,12.28,,,,,,0.50,,11.78 ,11.78 ,49%,100.00%,"2,999",254.5
92201,5/21,面取07,970B 3RD,,,,"4,505","4,505",,15.80,,,,,,0.67,,15.13 ,15.13 ,63%,100.00%,"4,505",297.7
91441,5/21,面取08,400B FR,"4,397","4,397",,,,,15.00,,,,,,0.67,,14.33 ,14.33 ,60%,100.00%,"4,397",306.8
92651,5/21,面取09,500D RR,"3,654","3,654",,,,,12.00,,,,,,0.50,,11.50 ,11.50 ,48%,100.00%,"3,654",317.7
92131,5/22,面取01,032D CTR,,,,342,342,,1.25,,,,,,,,1.25 ,1.25 ,5%,100.00%,342,273.6
92611,5/22,面取01,500D CTR,,,,"3,941","3,941",,15.38,,,,,,0.67,,14.72 ,14.72 ,61%,100.00%,"3,941",267.8
92031,5/22,面取03,840B 3RD,,,,"3,548","3,548",,13.70,,,,,,0.50,,13.20 ,13.20 ,55%,100.00%,"3,548",268.8
92511,5/22,面取04,NB8 US,"4,125","4,125",,,,,10.60,,,,,,0.50,,10.10 ,10.10 ,42%,100.00%,"4,125",408.4
92411,5/22,面取05,P13C RR,,,,836,836,,3.48,,,,,,0.17,,3.32 ,3.32 ,14%,100.00%,836,252.0
92201,5/22,面取07,970B 3RD,,,,91,91,,0.30,,,,,,,,0.30 ,0.30 ,1%,100.00%,91,303.3
92211,5/22,面取07,960B FR2,,,,"4,563","4,563",,16.43,,,,,,0.67,,15.77 ,15.77 ,66%,100.00%,"4,563",289.4
91441,5/22,面取08,400B FR,783,783,,,,,3.00,,,,,,0.17,,2.83 ,2.83 ,12%,100.00%,783,276.3
92651,5/22,面取09,500D RR,256,256,,,,,0.67,,,,,,,,0.67 ,0.67 ,3%,100.00%,256,384.4
91681,5/22,面取09,D54L RR,"1,263","1,263",,,,,5.67,,,,,,0.17,,5.50 ,5.50 ,23%,100.00%,"1,263",229.6
92611,5/25,面取01,500D CTR,,,,"1,271","1,271",,4.83,,,,,,0.17,,4.67 ,4.67 ,19%,100.00%,"1,271",272.3
92131,5/25,面取01,032D CTR,,,,"6,427","6,427",,27.20,,,,,,1.00,,26.20 ,26.20 ,109%,100.00%,"6,427",245.3
92181,5/25,面取01,050D CTR,,,,"2,460","2,460",,9.33,,,,,,0.33,,9.00 ,9.00 ,38%,100.00%,"2,460",273.3
92511,5/25,面取02,NB8 US,"5,977","5,977",,,,,18.25,,,,,,0.83,,17.42 ,17.42 ,73%,100.00%,"5,977",343.2
92031,5/25,面取03,840B 3RD,,,,845,845,,3.88,,,,,,0.17,,3.72 ,3.72 ,15%,100.00%,845,227.3
92201,5/25,面取03,970B 3RD,,,,"3,071","3,071",,12.00,,,,,,0.50,,11.50 ,11.50 ,48%,100.00%,"3,071",267.0
92411,5/25,面取05,P13C RR,,,,"3,127","3,127",,12.72,,,,,,0.50,,12.22 ,12.22 ,51%,100.00%,"3,127",256.0
91111,5/25,面取05,TTA,,,,"4,848","4,848",,20.93,,,,,,0.83,,20.10 ,20.10 ,84%,100.00%,"4,848",241.2
92691,5/25,面取07,655D 3RD CTR,,,,"6,168","6,168",380,22.05,,,,,,1.00,,21.05 ,21.05 ,88%,100.00%,"6,168",293.0
92371,5/25,面取07,440D CTR,,,,"2,579","2,579",,8.83,,,,,,0.33,,8.50 ,8.50 ,35%,100.00%,"2,579",303.4
91441,5/25,面取08,400B FR,"1,349","1,349",,,,,4.00,,,,,,0.17,,3.83 ,3.83 ,16%,100.00%,"1,349",351.9
91681,5/25,面取09,D54L RR,"3,537","3,537",,,,,12.67,,,,,,0.50,,12.17 ,12.17 ,51%,100.00%,"3,537",290.7
92221,5/25,面取09,900B FR,"2,660","2,660",,,,,6.00,,,,,,0.17,,5.83 ,5.83 ,24%,100.00%,"2,660",455.9
92651,5/25,面取10,500D RR,"3,911","3,911",,,,,8.33,,,,,,0.33,,8.00 ,8.00 ,33%,100.00%,"3,911",488.9
92181,5/26,面取01,050D CTR,,,,798,798,,3.08,,,,,,0.17,,2.92 ,2.92 ,12%,100.00%,798,273.6
92481,5/26,面取01,155D RR,,,,"4,737","4,737",,18.22,,,,,,0.83,,17.38 ,17.38 ,72%,100.00%,"4,737",272.5
92511,5/26,面取02,NB8 US,"5,746","5,706",40,,,,15.83,,,,,,0.67,,15.17 ,15.17 ,63%,100.00%,"5,706",376.2
92201,5/26,面取03,970B 3RD,,,,529,529,,1.95,,,,,,,,1.95 ,1.95 ,8%,100.00%,529,271.3
92541,5/26,面取03,410D FR2,,,,"3,363","3,363",,17.22,,,,,,0.67,,16.55 ,16.55 ,69%,100.00%,"3,363",203.2
91111,5/26,面取05,TTA,,,,"2,101","2,101",,8.63,,,,,,0.33,,8.30 ,8.30 ,35%,100.00%,"2,101",253.1
92371,5/26,面取07,440D CTR,,,,"2,595","2,595",,8.90,,,,,,0.33,,8.57 ,8.57 ,36%,100.00%,"2,595",302.9
91331,5/26,面取07,XC2A FR,,,,"1,949","1,949",,7.58,,,,,,0.33,,7.25 ,7.25 ,30%,100.00%,"1,949",268.8
91441,5/26,面取08,400B FR,"3,843","3,843",,,,,13.00,,,,,,0.50,,12.50 ,12.50 ,52%,100.00%,"3,843",307.4
92221,5/26,面取09,900B FR,"1,904","1,904",,,,,9.00,,,,,,0.33,,8.67 ,8.67 ,36%,100.00%,"1,904",219.7
91681,5/26,面取09,D54L RR,980,980,,,,,4.00,,,,,,0.17,,3.83 ,3.83 ,16%,100.00%,980,255.6
92481,5/27,面取01,155D RR,,,,"4,066","4,066",,15.48,,,,,,0.67,,14.82 ,14.82 ,62%,100.00%,"4,066",274.4
92511,5/27,面取02,NB8 US,275,275,,,,,0.75,,,,,,,,0.75 ,0.75 ,3%,100.00%,275,366.7
92541,5/27,面取03,410D FR2,,,,"1,198","1,198",,7.12,,,,,,0.33,,6.78 ,6.78 ,28%,100.00%,"1,198",176.6
92431,5/27,面取03,410D RR,,,,"1,876","1,876",,9.27,,,,,,0.33,,8.93 ,8.93 ,37%,100.00%,"1,876",210.0
91111,5/27,面取05,TTA,,,,"3,198","3,198",,13.07,,,,,,0.50,,12.57 ,12.57 ,52%,100.00%,"3,198",254.5
91331,5/27,面取07,XC2A FR,,,,"3,775","3,775",,13.32,,,,,,0.50,,12.82 ,12.82 ,53%,100.00%,"3,775",294.6
91441,5/27,面取08,400B FR,"3,923","3,923",,,,,11.00,,,,,,0.50,,10.50 ,10.50 ,44%,100.00%,"3,923",373.6
91681,5/27,面取09,D54L RR,"4,798","4,798",,,,,15.00,,,,,,0.67,,14.33 ,14.33 ,60%,100.00%,"4,798",334.7
92671,5/27,面取10,655D 3RD SIDE,"4,737","4,737",,,,,9.77,,,,,,0.33,,9.43 ,9.43 ,39%,100.00%,"4,737",502.2
92481,5/28,面取01,155D RR,,,,"1,621","1,621",,6.17,,,,,,0.17,,6.00 ,6.00 ,25%,100.00%,"1,621",270.2
91841,5/28,面取01,700B CTR 64,,,,"2,058","2,058",,7.95,,,,,,0.33,,7.62 ,7.62 ,32%,100.00%,"2,058",270.2
92431,5/28,面取03,410D RR,,,,"3,985","3,985",,17.35,,,,,,0.67,,16.68 ,16.68 ,70%,100.00%,"3,985",238.9
92541,5/28,面取03,410D FR2,,,,179,179,,0.67,,,,,,,,0.67 ,0.67 ,3%,100.00%,179,268.8
91111,5/28,面取05,TTA,,,,"1,818","1,818",,7.50,,,,,,0.33,,7.17 ,7.17 ,30%,100.00%,"1,818",253.7
91331,5/28,面取07,XC2A FR,,,,"2,071","2,071",,7.05,,,,,,0.33,,6.72 ,6.72 ,28%,100.00%,"2,071",308.3
92201,5/28,面取07,970B 3RD,,,,"2,049","2,049",,7.17,,,,,,0.33,,6.83 ,6.83 ,28%,100.00%,"2,049",299.9
91681,5/28,面取08,D54L RR,"1,312","1,312",,,,,3.33,,,,,,0.17,,3.17 ,3.17 ,13%,100.00%,"1,312",414.3
91681,5/28,面取09,D54L RR,873,873,,,,,2.50,,,,,,0.17,,2.33 ,2.33 ,10%,100.00%,873,374.0
92221,5/28,面取09,900B FR,"4,494","4,494",,,,,13.50,,,,,,0.50,,13.00 ,13.00 ,54%,100.00%,"4,494",345.7
92671,5/28,面取10,655D 3RD SIDE,"1,130","1,130",,,,,2.42,,,,,,0.17,,2.25 ,2.25 ,9%,100.00%,"1,130",502.2
91841,5/29,面取01,700B CTR 64,,,,223,223,,0.82,,,,,,,,0.82 ,0.82 ,3%,100.00%,223,273.3
92481,5/29,面取01,155D RR,,,,"4,909","4,909",,18.93,,,,,,0.83,,18.10 ,18.10 ,75%,100.00%,"4,909",271.2
92541,5/29,面取03,410D FR2,,,,"2,103","2,103",,8.58,,,,,,0.33,,8.25 ,8.25 ,34%,100.00%,"2,103",254.9
91781,5/29,面取03,MS2 FR,,,,"1,953","1,953",,7.62,,,,,,0.33,,7.28 ,7.28 ,30%,100.00%,"1,953",268.2
92201,5/29,面取07,970B 3RD,,,,"1,551","1,551",,5.30,,,,,,0.17,,5.13 ,5.13 ,21%,100.00%,"1,551",302.1
91441,5/29,面取07,400B FR,,,,"2,676","2,676",,8.35,,,,,,0.33,,8.02 ,8.02 ,33%,100.00%,"2,676",333.8
91681,5/29,面取08,D54L RR,"3,486","3,486",,,,,8.50,,,,,,0.33,,8.17 ,8.17 ,34%,100.00%,"3,486",426.8
91441,5/29,面取08,400B FR,"3,427","3,427",,,,,9.50,,,,,,0.33,,9.17 ,9.17 ,38%,100.00%,"3,427",373.8
92221,5/29,面取09,900B FR,"4,559","4,559",,,,,16.00,,,,,,0.67,,15.33 ,15.33 ,64%,100.00%,"4,559",297.3
91681,5/29,面取09,D54L RR,573,573,,,,,2.00,,,,,,,,2.00 ,2.00 ,8%,100.00%,573,286.5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
