社内品番,日付,ライン,品名,面取計画,面取生産数,面取不良,SW計画,SW生産数,SW不良,シフト,残業,段取,修理,調整,チョコ停,休憩,停止時間,作業すべき時間,作業時間,稼働率,作業率,生産総数,能率
91111,4/7,面取05,TTA,,,,891,891,,3.77,,,,,,0.17,,3.60 ,3.60 ,15%,100.00%,891,247.5
91491,4/7,面取05,TKR FR,,,,"3,060","3,060",,12.58,,,,,,0.50,,12.08 ,12.08 ,50%,100.00%,"3,060",253.2
91681,4/7,面取06,D54L RR,856,856,,,,,3.00,,,,,,0.17,,2.83 ,2.83 ,12%,100.00%,856,302.0
92751,4/7,面取07,410D FR1,,,,"2,976","2,976",,11.20,,,,,,0.33,,10.87 ,10.87 ,45%,100.00%,"2,976",273.9
92201,4/7,面取07,970B 3RD,,,,990,990,,3.50,,,,,,0.17,,3.33 ,3.33 ,14%,100.00%,990,296.9
92651,4/7,面取08,500D RR,"1,727","1,727",,,,,6.50,,,,,,0.33,,6.17 ,6.17 ,26%,100.00%,"1,727",280.0
92221,4/7,面取09,900B FR,"3,824","3,824",,,,,11.50,,,,,,0.50,,11.00 ,11.00 ,46%,100.00%,"3,824",347.6
91441,4/7,面取10,400B FR,"1,745","1,745",,,,,4.07,,,,,,0.17,,3.90 ,3.90 ,16%,100.00%,"1,745",447.4
92371,4/8,面取01,440D CTR,,,,"1,583","1,583",,6.00,,,,,,0.17,,5.83 ,5.83 ,24%,100.00%,"1,583",271.3
92551,4/8,面取01,BY2 CTR,,,,"2,028","2,028",,7.83,,,,,,0.33,,7.50 ,7.50 ,31%,100.00%,"2,028",270.4
91301,4/8,面取03,240B SD,,,,"2,720","2,720",,12.10,,,,,,0.50,,11.60 ,11.60 ,48%,100.00%,"2,720",234.5
91491,4/8,面取05,TKR FR,,,,"1,931","1,931",,8.20,,,,,,0.33,,7.87 ,7.87 ,33%,100.00%,"1,931",245.5
91111,4/8,面取05,TTA,,,,"1,149","1,149",,5.80,,,,,,0.17,,5.63 ,5.63 ,23%,100.00%,"1,149",203.9
91681,4/8,面取06,D54L RR,"5,245","5,245",,,,,17.50,,,,,,0.83,,16.67 ,16.67 ,69%,100.00%,"5,245",314.7
92201,4/8,面取07,970B 3RD,,,,"2,601","2,601",,9.18,,,,,,0.33,,8.85 ,8.85 ,37%,100.00%,"2,601",293.9
91301,4/8,面取07,240B SD,,,,954,954,,3.33,,,,,,0.17,,3.17 ,3.17 ,13%,100.00%,954,301.2
92651,4/8,面取08,500D RR,"4,535","4,535",,,,,18.17,,,,,,0.83,,17.33 ,17.33 ,72%,100.00%,"4,535",261.6
92221,4/8,面取09,900B FR,738,738,,,,,3.00,,,,,,0.17,,2.83 ,2.83 ,12%,100.00%,738,260.4
92551,4/9,面取01,BY2 CTR,,,,"3,836","3,836",,15.00,,,,,,0.67,,14.33 ,14.33 ,60%,100.00%,"3,836",267.6
92031,4/9,面取03,840B 3RD,,,,817,817,,4.17,,,,,,0.17,,4.00 ,4.00 ,17%,100.00%,817,204.3
92041,4/9,面取03,720B RR SD,,,,"1,565","1,565",,6.50,,,,,,0.17,,6.33 ,6.33 ,26%,100.00%,"1,565",247.1
91111,4/9,面取05,TTA,,,,"2,560","2,560",,11.55,,,,,,0.33,,11.22 ,11.22 ,47%,100.00%,"2,560",228.2
91671,4/9,面取06,D54L CTR,"4,061","4,061",,,,,11.00,,,,,,0.50,,10.50 ,10.50 ,44%,100.00%,"4,061",386.8
91301,4/9,面取07,240B SD,,,,"1,654","1,654",,5.75,,,,,,0.17,,5.58 ,5.58 ,23%,100.00%,"1,654",296.2
91331,4/9,面取07,XC2A FR,,,,"1,084","1,084",,4.17,,,,,,0.17,,4.00 ,4.00 ,17%,100.00%,"1,084",271.0
92651,4/9,面取08,500D RR,"3,515","3,515",,,,,6.17,,,,,,0.17,,6.00 ,6.00 ,25%,100.00%,"3,515",585.8
91441,4/9,面取08,400B FR,274,274,,,,,3.00,,,,,,,,3.00 ,3.00 ,13%,100.00%,274,91.3
92221,4/9,面取09,900B FR,"2,282","2,282",,,,,4.00,,,,,,0.17,,3.83 ,3.83 ,16%,100.00%,"2,282",595.2
92471,4/10,面取01,743D FR,,,,"2,562","2,562",,14.80,,,,,,0.67,,14.13 ,14.13 ,59%,100.00%,"2,562",181.3
92031,4/10,面取03,840B 3RD,,,,"2,493","2,493",,15.52,,,,,,0.67,,14.85 ,14.85 ,62%,100.00%,"2,493",167.9
91111,4/10,面取05,TTA,,,,"2,212","2,212",,9.33,,,,,,0.33,,9.00 ,9.00 ,38%,100.00%,"2,212",245.8
92401,4/10,面取05,3BV FR,,,,"3,000","3,000",,6.33,,,,,,0.17,,6.17 ,6.17 ,26%,100.00%,"3,000",486.5
91331,4/10,面取07,XC2A FR,,,,"2,826","2,826",,9.88,,,,,,0.33,,9.55 ,9.55 ,40%,100.00%,"2,826",295.9
92211,4/10,面取07,960B FR2,,,,"1,104","1,104",,4.00,,,,,,0.17,,3.83 ,3.83 ,16%,100.00%,"1,104",287.9
91441,4/10,面取08,400B FR,"6,001","6,001",,,,,18.67,,,,,,0.83,,17.83 ,17.83 ,74%,100.00%,"6,001",336.5
92221,4/10,面取09,900B FR,"4,661","4,661",,,,,18.00,,,,,,0.83,,17.17 ,17.17 ,72%,100.00%,"4,661",271.5
92471,4/13,面取01,743D FR,,,,693,693,,2.58,,,,,,0.17,,2.42 ,2.42 ,10%,100.00%,693,286.7
92431,4/13,面取01,410D RR,,,,"10,425","10,425",,34.60,,,,,,1.33,,33.27 ,33.27 ,139%,100.00%,"10,425",313.4
92031,4/13,面取03,840B 3RD,,,,"4,244","4,244",,21.02,,,1.50,,,1.00,,20.02 ,18.52 ,83%,92.51%,"4,244",229.2
92511,4/13,面取04,NB8 US,"5,996","5,996",,,,,15.97,,,,,,0.67,,15.30 ,15.30 ,64%,100.00%,"5,996",391.9
92401,4/13,面取05,3BV FR,,,,"2,402","2,402",,9.88,,,,,,0.33,,9.55 ,9.55 ,40%,100.00%,"2,402",251.5
92211,4/13,面取07,960B FR2,,,,"3,457","3,457",,12.87,,,,,,0.50,,12.37 ,12.37 ,52%,100.00%,"3,457",279.6
91331,4/13,面取07,XC2A FR,,,,"3,911","3,911",,13.60,,,,,,0.50,,13.10 ,13.10 ,55%,100.00%,"3,911",298.5
92161,4/13,面取07,3V0 FR プレート,,,,"1,281","1,281",,4.03,,,,,,0.17,,3.87 ,3.87 ,16%,100.00%,"1,281",331.3
91441,4/13,面取08,400B FR,"5,088","5,088",,,,,18.42,,,,,,0.83,,17.58 ,17.58 ,73%,100.00%,"5,088",289.4
92221,4/13,面取09,900B FR,"6,743","6,743",,,,,27.33,,,,,,1.33,,26.00 ,26.00 ,108%,100.00%,"6,743",259.3
91671,4/13,面取09,D54L CTR,"2,449","2,449",,,,,8.17,,,,,,0.33,,7.83 ,7.83 ,33%,100.00%,"2,449",312.7
92671,4/13,面取10,655D 3RD SIDE,"3,910","3,910",,,,,9.38,,,,,,0.33,,9.05 ,9.05 ,38%,100.00%,"3,910",432.0
92431,4/14,面取01,410D RR,,,,"2,933","2,933",,11.50,,,,,,0.50,,11.00 ,11.00 ,46%,100.00%,"2,933",266.6
92541,4/14,面取01,410D FR2,,,,"1,815","1,815",,7.22,,,,,,0.33,,6.88 ,6.88 ,29%,100.00%,"1,815",263.7
92031,4/14,面取03,840B 3RD,,,,"3,432","3,432",,13.67,,,,,,0.50,,13.17 ,13.17 ,55%,100.00%,"3,432",260.7
92201,4/14,面取03,970B 3RD,,,,138,138,,0.55,,,,,,,,0.55 ,0.55 ,2%,100.00%,138,250.9
92511,4/14,面取04,NB8 US,"2,997","2,997",,,,,7.90,,,,,,0.33,,7.57 ,7.57 ,32%,100.00%,"2,997",396.1
91111,4/14,面取05,TTA,,,,"1,527","1,527",,6.25,,,,,,0.17,,6.08 ,6.08 ,25%,100.00%,"1,527",251.0
92161,4/14,面取07,3V0 FR プレート,,,,517,517,,1.57,,,,,,,,1.57 ,1.57 ,7%,100.00%,517,330.1
91861,4/14,面取07,3V0 FR MASS,,,,"1,791","1,791",,5.52,,,,,,0.17,,5.35 ,5.35 ,22%,100.00%,"1,791",334.8
92551,4/14,面取07,BY2 CTR,,,,"2,938","2,938",,11.03,,,,,,0.50,,10.53 ,10.53 ,44%,100.00%,"2,938",278.9
91671,4/14,面取09,D54L CTR,"4,559","4,559",,,,,18.92,,,,,,0.83,,18.08 ,18.08 ,75%,100.00%,"4,559",252.1
92541,4/15,面取01,410D FR2,,,,"2,724","2,724",,10.62,,,,,,0.33,,10.28 ,10.28 ,43%,100.00%,"2,724",264.9
92611,4/15,面取01,500D CTR,,,,"2,396","2,396",,9.33,,,,,,0.33,,9.00 ,9.00 ,38%,100.00%,"2,396",266.2
92201,4/15,面取03,970B 3RD,,,,"4,803","4,803",,20.37,,,,,,0.83,,19.53 ,19.53 ,81%,100.00%,"4,803",245.9
91111,4/15,面取05,TTA,,,,"4,047","4,047",,16.68,,,,,,0.67,,16.02 ,16.02 ,67%,100.00%,"4,047",252.7
92231,4/15,面取07,900B RR,,,,"5,215","5,215",,18.30,,,,,,0.83,,17.47 ,17.47 ,73%,100.00%,"5,215",298.6
92781,4/15,面取07,410D CTR,,,,91,91,,0.32,,,,,,,,0.32 ,0.32 ,1%,100.00%,91,288.0
91441,4/15,面取08,400B FR,"4,562","4,562",,,,,14.83,,,,,,0.67,,14.17 ,14.17 ,59%,100.00%,"4,562",322.0
91671,4/15,面取09,D54L CTR,"1,082","1,082",,,,,3.33,,,,,,0.17,,3.17 ,3.17 ,13%,100.00%,"1,082",341.6
92221,4/15,面取09,900B FR,"4,326","4,326",,,,,15.50,,,,,,0.67,,14.83 ,14.83 ,62%,100.00%,"4,326",291.6
92671,4/15,面取10,655D 3RD SIDE,"3,428","3,428",,,,,6.93,,,,,,0.17,,6.77 ,6.77 ,28%,100.00%,"3,428",506.6
92611,4/16,面取01,500D CTR,,,,"4,820","4,820",,18.42,,,,,,0.83,,17.58 ,17.58 ,73%,100.00%,"4,820",274.1
92201,4/16,面取03,970B 3RD,,,,"2,249","2,249",,9.65,,,,,,0.33,,9.32 ,9.32 ,39%,100.00%,"2,249",241.4
91441,4/16,面取03,400B FR,,,,"1,858","1,858",,7.55,,,,,,0.33,,7.22 ,7.22 ,30%,100.00%,"1,858",257.4
92511,4/16,面取04,NB8 US,"5,249","5,249",,,,,13.35,,,,,,0.50,,12.85 ,12.85 ,54%,100.00%,"5,249",408.5
91111,4/16,面取05,TTA,,,,407,407,,1.58,,,,,,,,1.58 ,1.58 ,7%,100.00%,407,257.1
92781,4/16,面取07,410D CTR,,,,"5,477","5,477",,18.72,,,,,,0.83,,17.88 ,17.88 ,75%,100.00%,"5,477",306.3
92221,4/16,面取09,900B FR,237,237,,,,,0.83,,,,,,,,0.83 ,0.83 ,3%,100.00%,237,284.5
92671,4/16,面取10,655D 3RD SIDE,"2,440","2,440",,,,,5.05,,,,,,0.17,,4.88 ,4.88 ,20%,100.00%,"2,440",499.6
92611,4/17,面取01,500D CTR,,,,606,606,,2.40,,,,,,0.17,,2.23 ,2.23 ,9%,100.00%,606,271.3
92231,4/17,面取01,900B RR,,,,"2,847","2,847",,11.23,,,,,,0.50,,10.73 ,10.73 ,45%,100.00%,"2,847",265.3
92511,4/17,面取02,NB8 US,"2,309","2,309",,,,,8.33,,,,,,0.33,,8.00 ,8.00 ,33%,100.00%,"2,309",288.6
91441,4/17,面取03,400B FR,,,,"2,703","2,703",,10.52,,,,,,0.33,,10.18 ,10.18 ,42%,100.00%,"2,703",265.4
92581,4/17,面取03,554D FR,,,,951,951,,3.83,,,,,,0.17,,3.67 ,3.67 ,15%,100.00%,951,259.3
92511,4/17,面取04,NB8 US,731,731,,,,,1.83,,,,,,,,1.83 ,1.83 ,8%,100.00%,731,398.8
91111,4/17,面取05,TTA,,,,"2,141","2,141",,9.38,,,,,,0.33,,9.05 ,9.05 ,38%,100.00%,"2,141",236.6
92781,4/17,面取07,410D CTR,,,,"2,253","2,253",,7.82,,,,,,0.33,,7.48 ,7.48 ,31%,100.00%,"2,253",301.1
92481,4/17,面取07,155D RR,,,,"1,436","1,436",,4.67,,,,,,0.17,,4.50 ,4.50 ,19%,100.00%,"1,436",319.1
91441,4/17,面取08,400B FR,"3,099","3,099",,,,,9.50,,,,,,0.33,,9.17 ,9.17 ,38%,100.00%,"3,099",338.1
92221,4/17,面取09,900B FR,"2,845","2,845",,,,,10.33,,,,,,0.50,,9.83 ,9.83 ,41%,100.00%,"2,845",289.3
92231,4/20,面取01,900B RR,,,,"2,362","2,362",,9.15,,,,,,0.33,,8.82 ,8.82 ,37%,100.00%,"2,362",267.9
92481,4/20,面取01,155D RR,,,,"1,672","1,672",,6.92,,,,,,0.33,,6.58 ,6.58 ,27%,100.00%,"1,672",254.0
92511,4/20,面取02,NB8 US,"3,393","3,393",,,,,12.25,,,,,,0.50,,11.75 ,11.75 ,49%,100.00%,"3,393",288.8
92581,4/20,面取03,554D FR,,,,"2,960","2,960",,12.00,,,,,,0.50,,11.50 ,11.50 ,48%,100.00%,"2,960",257.4
92201,4/20,面取03,970B 3RD,,,,565,565,,2.27,,,,,,0.17,,2.10 ,2.10 ,9%,100.00%,565,268.5
91111,4/20,面取05,TTA,,,,"3,456","3,456",,14.55,,,,,,0.67,,13.88 ,13.88 ,58%,100.00%,"3,456",248.9
92481,4/20,面取07,155D RR,,,,"1,168","1,168",,4.03,,,,,,0.17,,3.87 ,3.87 ,16%,100.00%,"1,168",302.0
92231,4/20,面取07,900B RR,,,,"3,102","3,102",,10.80,,,,,,0.50,,10.30 ,10.30 ,43%,100.00%,"3,102",301.2
91441,4/20,面取08,400B FR,"3,747","3,747",,,,,11.00,,,,,,0.50,,10.50 ,10.50 ,44%,100.00%,"3,747",356.9
92221,4/20,面取09,900B FR,"3,999","3,999",,,,,16.33,,,,,,0.67,,15.67 ,15.67 ,65%,100.00%,"3,999",255.2
92671,4/20,面取10,655D 3RD SIDE,"1,956","1,956",,,,,4.17,,,,,,0.17,,4.00 ,4.00 ,17%,100.00%,"1,956",489.0
92481,4/21,面取01,155D RR,,,,"3,308","3,308",,13.17,,,,,,0.50,,12.67 ,12.67 ,53%,100.00%,"3,308",261.2
92511,4/21,面取02,NB8 US,293,293,,,,,1.00,,,,,,,,1.00 ,1.00 ,4%,100.00%,293,293.0
92201,4/21,面取03,970B 3RD,,,,"3,030","3,030",,12.07,,,,,,0.50,,11.57 ,11.57 ,48%,100.00%,"3,030",262.0
91111,4/21,面取05,TTA,,,,"2,844","2,844",,11.63,,,,,,0.50,,11.13 ,11.13 ,46%,100.00%,"2,844",255.5
92151,4/21,面取07,300D CTR,,,,809,809,,2.82,,,,,,0.17,,2.65 ,2.65 ,11%,100.00%,809,305.3
91411,4/21,面取07,180B FR,,,,"2,817","2,817",,9.73,,,,,,0.33,,9.40 ,9.40 ,39%,100.00%,"2,817",299.7
92671,4/21,面取10,655D 3RD SIDE,"1,956","1,956",,,,,3.83,,,,,,0.17,,3.67 ,3.67 ,15%,100.00%,"1,956",533.4
92751,4/22,面取01,410D FR1,,,,"3,362","3,362",,13.23,,,,,,0.50,,12.73 ,12.73 ,53%,100.00%,"3,362",264.0
92131,4/22,面取01,032D CTR,,,,795,795,,3.17,,,,,,0.17,,3.00 ,3.00 ,13%,100.00%,795,265.0
91441,4/22,面取03,400B FR,,,,"3,704","3,704",,14.90,,,,,,0.67,,14.23 ,14.23 ,59%,100.00%,"3,704",260.2
92421,4/22,面取05,P13C CTR,,,,"1,921","1,921",,8.02,,,,,,0.33,,7.68 ,7.68 ,32%,100.00%,"1,921",250.0
91411,4/22,面取07,180B FR,,,,"1,744","1,744",,6.33,,,,,,0.33,,6.00 ,6.00 ,25%,100.00%,"1,744",290.7
92691,4/22,面取07,655D 3RD CTR,,,,"2,753","2,753",,9.55,,,,,,0.33,,9.22 ,9.22 ,38%,100.00%,"2,753",298.7
91441,4/22,面取08,400B FR,"3,470","3,470",,,,,10.17,,,,,,0.50,,9.67 ,9.67 ,40%,100.00%,"3,470",359.0
92131,4/23,面取01,032D CTR,,,,"4,375","4,375",,17.83,,,,,,0.83,,17.00 ,17.00 ,71%,100.00%,"4,375",257.4
91441,4/23,面取03,400B FR,,,,850,850,,3.33,,,,,,0.17,,3.17 ,3.17 ,13%,100.00%,850,268.4
92751,4/23,面取03,410D FR1,,,,"2,613","2,613",,11.27,,,,,,0.50,,10.77 ,10.77 ,45%,100.00%,"2,613",242.7
92421,4/23,面取05,P13C CTR,,,,"2,077","2,077",,8.60,,,,,,0.33,,8.27 ,8.27 ,34%,100.00%,"2,077",251.2
92411,4/23,面取05,P13C RR,,,,"1,000","1,000",,4.17,,,,,,0.17,,4.00 ,4.00 ,17%,100.00%,"1,000",250.0
92691,4/23,面取07,655D 3RD CTR,,,,"1,138","1,138",,4.55,,,,,,0.17,,4.38 ,4.38 ,18%,100.00%,"1,138",259.6
91781,4/23,面取07,MS2 FR,,,,"3,443","3,443",,10.56,,,,,,0.33,,10.23 ,10.23 ,43%,100.00%,"3,443",336.7
91441,4/23,面取08,400B FR,"1,093","1,093",,,,,3.50,,,,,,0.17,,3.33 ,3.33 ,14%,100.00%,"1,093",327.8
92221,4/23,面取09,900B FR,"4,096","4,096",,,,,13.50,,,,,,0.50,,13.00 ,13.00 ,54%,100.00%,"4,096",315.1
92131,4/24,面取01,032D CTR,,,,"4,193","4,193",,17.55,,,,,,0.83,,16.72 ,16.72 ,70%,100.00%,"4,193",250.8
92751,4/24,面取03,410D FR1,,,,"1,497","1,497",,6.67,,,,,,0.33,,6.33 ,6.33 ,26%,100.00%,"1,497",236.4
91441,4/24,面取03,400B FR,,,,"2,451","2,451",,9.82,,,,,,0.33,,9.48 ,9.48 ,40%,100.00%,"2,451",258.5
90931,4/24,面取04,NB8 EURO,85,85,,,,,0.18,,,,,,,,0.18 ,0.18 ,1%,100.00%,85,464.5
92411,4/24,面取05,P13C RR,,,,"2,977","2,977",,12.28,,,,,,0.50,,11.78 ,11.78 ,49%,100.00%,"2,977",252.7
91781,4/24,面取07,MS2 FR,,,,"2,417","2,417",,7.43,,,,,,0.33,,7.10 ,7.10 ,30%,100.00%,"2,417",340.4
92461,4/24,面取07,524D FR,,,,"1,988","1,988",,7.42,,,,,,0.33,,7.08 ,7.08 ,30%,100.00%,"1,988",280.7
92221,4/24,面取09,900B FR,463,463,,,,,2.00,,,,,,0.17,,1.83 ,1.83 ,8%,100.00%,463,252.5
91681,4/24,面取09,D54L RR,"4,873","4,873",,,,,16.17,,,,,,0.67,,15.50 ,15.50 ,65%,100.00%,"4,873",314.4
91621,4/24,面取10,RE7 CTR,"4,215","4,215",,,,,12.92,,,,,,0.50,,12.42 ,12.42 ,52%,100.00%,"4,215",339.5
92131,4/27,面取01,032D CTR,,,,"3,630","3,630",,14.13,,,,,,0.67,,13.47 ,13.47 ,56%,100.00%,"3,630",269.5
92431,4/27,面取01,410D RR,,,,"5,849","5,849",,22.70,,,,,,1.00,,21.70 ,21.70 ,90%,100.00%,"5,849",269.5
92161,4/27,面取01,3V0 FR プレート,,,,"1,465","1,465",,5.25,,,,,,0.17,,5.08 ,5.08 ,21%,100.00%,"1,465",288.2
90771,4/27,面取02,780A RR,"2,276","2,276",,,,,6.55,,,,,,0.17,,6.38 ,6.38 ,27%,100.00%,"2,276",356.5
91441,4/27,面取03,400B FR,,,,"2,093","2,093",,8.22,,,,,,0.33,,7.88 ,7.88 ,33%,100.00%,"2,093",265.5
92201,4/27,面取03,970B 3RD,,,,"4,283","4,283",,17.48,,,,,,0.83,,16.65 ,16.65 ,69%,100.00%,"4,283",257.2
92011,4/27,面取03,840B 2ND CTR,,,,"3,256","3,256",,10.70,,,,,,0.50,,10.20 ,10.20 ,43%,100.00%,"3,256",319.2
90931,4/27,面取04,NB8 EURO,"2,910","2,910",,,,,6.18,,,,,,0.33,,5.85 ,5.85 ,24%,100.00%,"2,910",497.4
90961,4/27,面取04,C53D 標準,"1,198","1,198",,,,,2.57,,,,,,0.17,,2.40 ,2.40 ,10%,100.00%,"1,198",499.2
92461,4/27,面取07,524D FR,,,,"1,921","1,921",,6.75,,,,,,0.33,,6.42 ,6.42 ,27%,100.00%,"1,921",299.4
92481,4/27,面取07,155D RR,,,,"9,803","9,803",,33.88,,,,,,1.33,,32.55 ,32.55 ,136%,100.00%,"9,803",301.2
91441,4/27,面取08,400B FR,"4,564","4,564",,,,,16.92,,,,,,0.67,,16.25 ,16.25 ,68%,100.00%,"4,564",280.9
91681,4/27,面取08,D54L RR,"2,395","2,395",,,,,9.50,,,,,,0.33,,9.17 ,9.17 ,38%,100.00%,"2,395",261.3
91681,4/27,面取09,D54L RR,"7,106","7,106",,,,,24.42,,,,,,1.33,,23.08 ,23.08 ,96%,100.00%,"7,106",307.8
92221,4/27,面取09,900B FR,"3,753","3,753",,,,,6.00,,,,,,0.17,,5.83 ,5.83 ,24%,100.00%,"3,753",643.3
92671,4/27,面取10,655D 3RD SIDE,"3,202","3,202",,,,,6.73,,,,,,0.33,,6.40 ,6.40 ,27%,100.00%,"3,202",500.3
92161,4/28,面取01,3V0 FR プレート,,,,286,286,,1.00,,,,,,,,1.00 ,1.00 ,4%,100.00%,286,286.0
